排名,审计ID,推荐层级,老药新用类型,药物,药物ChEMBL_ID,原适应症领域,原领域英文,候选靶点,靶点名称,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,agent决策,风险等级,是否同原适应症领域,是否同已知靶点家族,是否已知靶点/对照,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,候选病种说明,机制审计,可行性审计,首选实验,反筛建议,审计备注
11,strict895_0414,第一轮优先,跨领域但同靶点家族扩展,Palbociclib,CHEMBL2364621,肿瘤,Oncology,TYK2,Non-receptor tyrosine-protein kinase TYK2,银屑病,psoriasis,皮肤/免疫,84.36840680984075,0.4810829,37,0.7222757693262555,激酶生化/细胞,keep_high,medium,否,是,否,PubMed pair审计未见明确报道,0,0,,,银屑病、特应性皮炎、JAK-STAT驱动皮肤炎症,机制较聚焦：TYK2与银屑病、特应性皮炎、JAK-STAT驱动皮肤炎症的病理轴一致，且该药-靶点假说可用直接engagement和功能readout验证，值得作为本块优先保留。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,TYK2 kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pTYK2/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,存在同靶点家族/同药理类别泄漏风险。；建议进入首批确认实验，但仍需先做选择性反筛。
12,strict895_0716,第一轮优先,同领域同靶点家族扩展,Afatinib Dimaleate,CHEMBL2105712,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,84.0,0.63125384,4,0.8354100756215777,激酶生化/细胞,keep_high,medium,是,是,否,PubMed pair审计未见明确报道,0,0,,,FLT3 突变 AML；CML/CLL 探索,"child Open Targets 最佳疾病为 acute myeloid leukemia，score=0.835（genetic=0.547, clinical=0.972, literature=0.999），FLT3-疾病证据为强。Afatinib Dimaleate→FLT3 主要由 ConPLEx=0.631/rank=4 支撑；Afatinib-FLT3 ConPLEx 高、rank=4，FLT3-AML child OT 遗传/临床/文献均强。","原始 target-engagement 可行性=高; assay lane=kinase biochemical/cellular; ConPLEx=0.631, rank=4; 自动优先级=P1_priority_manual_review. 疾病模型具体、验证路径清晰，建议进入优先实验队列，但仍需用正交 target engagement 排除多靶点解释。",建议验证：FLT3 重组 kinase IC50/Kd（ADP-Glo、迁移率法或 NanoBRET），并在 FLT3 突变 AML 细胞模型检测目标磷酸化/下游 ERK-AKT 或 pRB readout。,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛；加入 FLT3 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别做 kinase panel 和 ATP-competition 检查。,Afatinib-FLT3 ConPLEx 高、rank=4，FLT3-AML child OT 遗传/临床/文献均强。 child_ot_status=child_ot_match; best_child=acute myeloid leukemia; novelty=同靶点家族机制扩展，novelty 中等; major_risks=同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱
13,strict895_0041,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,LYN,Tyrosine-protein kinase Lyn,乳腺癌,breast cancer,实体瘤,83.80990680775645,0.45665708,6,0.4370033959002865,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,LYN 依赖大颗粒 T 细胞白血病、急性 T 细胞白血病、头颈鳞癌模型。,Rilpivirine Hydrochloride -> LYN（Tyrosine-protein kinase Lyn）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
14,strict895_0764,第一轮优先,同领域同靶点家族扩展,Tucatinib,CHEMBL3989868,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,82.57495493333333,0.46946332,4,0.8354100756215777,激酶生化/细胞,keep_high,medium,是,是,否,PubMed pair审计未见明确报道,0,0,,,急性髓系白血病；慢性髓系白血病；慢性淋巴细胞白血病,预测 Tucatinib 作用于 FLT3，疾病锚点为急性髓系白血病；慢性髓系白血病；慢性淋巴细胞白血病。child OT 状态=child_ot_match，最佳 child disease=急性髓系白血病，总分0.835（遗传0.547/临床0.972/文献0.999）。同靶点家族机制扩展，novelty 中等。,TE 可行性原评估为高，建议使用激酶生化+细胞通路路线；ConPLEx=0.469、药内rank=4。可直接进入首轮小规模正交验证。主要限制：同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。,重组靶激酶 IC50/ATP 竞争实验；细胞 NanoBRET/CETSA 或 phospho-substrate readout；阳性后进入疾病相关细胞模型。,广谱 kinase panel、母药已知主靶点反筛、细胞毒性/ATP 下降、相近激酶选择性和疾病细胞阴性对照。,FLT3-AML child OT 极强，Tucatinib rank=4 且本地未见报道；虽为 TKI 同类，仍值得小规模首轮验证。 审计依据：ConPLEx=0.469/rank=4；best_child=急性髓系白血病(OT=0.835)；literature_status=unreported_in_local_pubmed_audit。
15,strict895_0059,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,CHEMBL1628504,感染性疾病,Infectious Disease,PTK6,Protein-tyrosine kinase 6,食管鳞癌,esophageal squamous cell carcinoma,实体瘤,82.29863784914879,0.49339902,1,0.2936303814436496,激酶生化/细胞,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,PTK6/BRK 高表达乳腺癌、口腔/食管鳞癌模型。,Rilpivirine Hydrochloride -> PTK6（Protein-tyrosine kinase 6）：该靶点属于可测 kinase/受体 kinase 信号轴，若候选疾病依赖相应通路，drug-target-direction 具备可实验验证的 biological story。,高：重组激酶 IC50/Kd、kinase panel、NanoBRET/CETSA 和 phospho-substrate 细胞 readout 均可执行。,重组靶点激酶 IC50/Kd（ADP-Glo/Caliper/KinomeScan），细胞 NanoBRET/CETSA 与 p-substrate 或 pathway phospho-readout。,广谱 kinase panel、ATP 竞争曲线、上游/下游 kinase 旁路、细胞毒性/增殖非特异效应、药物自荧光/聚集。,保留为高优先：靶点-疾病连接清楚且首轮 target engagement 可直接验证。 本地共现层面较干净，仍需人工排重。
16,strict895_0573,第一轮优先,同领域同靶点家族扩展,Selpercatinib,CHEMBL4559134,肿瘤,Oncology,CHEK2,Serine/threonine-protein kinase Chk2,乳腺癌,breast carcinoma,实体瘤,81.95354136071074,0.5460861,32,0.7090462826982556,激酶生化/细胞,keep_high,中,是,是,否,PubMed pair审计未见明确报道,0,0,,,乳腺癌（Open Targets child/遗传证据强）、黑色素瘤/肝细胞癌为次级,机制审计：优先保留。CHEK2 是 DNA 损伤检查点 kinase，乳腺癌 child OT 遗传和文献证据强，适合先验证直接 kinase engagement。child OT 和靶点生物学共同支持具体病种，适合进入首轮正交验证。 child OT 最佳疾病为 breast carcinoma（score=0.709）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,CHEK2 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,"建议进入首轮小规模正交验证。 审计依据：child OT=breast carcinoma(0.709), ConPLEx=0.546/rank32; literature_status=unreported_in_local_pubmed_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
17,strict895_0093,第一轮优先,跨大领域老药新用,Emtricitabine,CHEMBL885,感染性疾病,Infectious Disease,BMPR1A,Bone morphogenetic protein receptor type-1A,乳腺癌,breast carcinoma,实体瘤,81.56088906991121,0.5462819,2,0.2915950697738313,酶/表观遗传生化,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,BMPR1A/TGFβ-BMP 依赖的子宫内膜癌；次选结直肠癌类器官,机制合理：BMPR1A 与BMPR1A/TGFβ-BMP 依赖的子宫内膜癌形成可检验疾病轴，输入证据和 assay 可行性较好；药物-BMPR1A 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,BMPR1A/ALK 受体 kinase 或 binding assay；BMP9/BMP4 刺激的 pSMAD1/5/8 细胞 readout，并加 NanoBRET/CETSA。,同家族/广谱 kinome 或 phosphatase panel、ATP 竞争、聚集体/PAINS、细胞毒性和原批准靶点 counterscreen。,靶点、CREEDS 子宫内膜癌和 BMP/TGFβ 机制一致，且本地 PubMed 审计较干净；适合优先做正交验证。
18,strict895_0156,第一轮优先,跨大领域老药新用,Maraviroc,CHEMBL256907,感染性疾病,Infectious Disease,SLC34A2,Sodium-dependent phosphate transport protein 2B,肺鳞癌,squamous cell lung carcinoma,实体瘤,81.32386227713619,0.50970215,47,0.3699494345393864,转运体摄取/外排,keep_high,low,否,否,否,PubMed pair审计未见明确报道,0,0,,,SLC34A2 高表达肺腺癌/肺鳞癌和卵巢浆液性癌,机制合理：SLC34A2 与SLC34A2 高表达肺腺癌/肺鳞癌和卵巢浆液性癌形成可检验疾病轴，输入证据和 assay 可行性较好；药物-SLC34A2 仍需正交 engagement 确认。,高：target engagement 与疾病功能 readout 都有成熟体系，建议直接做 8-10 点剂量依赖和遗传/药理 rescue。,SLC34A2 过表达与 parental 细胞的 LC-MS/放射性底物摄取或外排实验；做底物竞争、时间梯度和转运动力学。,parental vs overexpression、其他 SLC/ABC 转运体、被动通透性、pH/膜电位、细胞活性和底物竞争 counterscreen。,SLC34A2 肺癌/卵巢癌疾病定位具体，Maraviroc ConPLEx 高且本地共现干净；转运体 assay 可直接执行。
19,strict895_0657,第一轮优先,跨大领域老药新用,Avibactam Sodium,CHEMBL1689063,感染性疾病,Infectious Disease,SLC5A2,Sodium/glucose cotransporter 2,慢性肾病,chronic kidney disease,肾脏,81.15657203712217,0.43705928,3,0.6263913616498742,转运体摄取/外排,keep_high,medium,否,否,否,PubMed pair审计未见明确报道,0,0,,,SLC5A2 相关 CKD/肾小球损伤；糖尿病性肾病或肾纤维化模型,"child Open Targets 最佳疾病为 chronic kidney disease，score=0.626（genetic=0.000, clinical=0.981, literature=0.978），SLC5A2-疾病证据为较强。Avibactam Sodium→SLC5A2 主要由 ConPLEx=0.437/rank=3 支撑；SLC5A2-CKD clinical/literature 证据强，Avibactam rank=3 且非同类机制，值得优先验证。","原始 target-engagement 可行性=高; assay lane=transporter uptake/efflux; ConPLEx=0.437, rank=3; 自动优先级=P1_priority_manual_review. 疾病模型具体、验证路径清晰，建议进入优先实验队列，但仍需用正交 target engagement 排除多靶点解释。",建议验证：SLC5A2 底物摄取/外排或竞争抑制实验；使用过表达与空载体对照，并在 SLC5A2 相关 CKD/肾小球损伤 肾/神经/肿瘤相关模型中做功能 readout。,同家族转运体、细胞活性、底物荧光/放射性干扰、P-gp/BCRP 外排反筛；加入 SLC5A2 同家族/上游下游通路反筛、母药已知主靶反筛、细胞毒性和溶解度/聚集体检查。特别排除底物荧光/放射性读数干扰、P-gp/BCRP 外排和非特异膜损伤。,SLC5A2-CKD clinical/literature 证据强，Avibactam rank=3 且非同类机制，值得优先验证。 child_ot_status=child_ot_match; best_child=chronic kidney disease; novelty=PubMed pair审计未见明确报道，详见PubMed计数/PMID列; major_risks=转运体 readout 易受底物、外排和细胞状态影响
20,strict895_0879,第一轮优先,同领域同靶点家族扩展,Cabozantinib S-Malate,CHEMBL2103868,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.6794778,4,0.8354100756215777,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,30,29,41702887;40913959;39383976,41702887;40913959;39383976,"优先聚焦急性髓系白血病；备选模型为急性髓系白血病、慢性髓系白血病、慢性淋巴细胞白血病。child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）。","机制较强：Cabozantinib S-Malate -> FLT3（Receptor-type tyrosine-protein kinase FLT3）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）；ConPLEx=0.679/rank4。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,FLT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在急性髓系白血病模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
21,strict895_0863,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,CHEMBL477772,肿瘤,Oncology,FLT3,Receptor-type tyrosine-protein kinase FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,81.0,0.9139769,4,0.8354100756215777,激酶生化/细胞,keep_high,low,是,是,否,上市后文献有新靶点线索,7,6,34877907;31770593;30194077,34877907;31770593;30194077,"优先聚焦急性髓系白血病；备选模型为急性髓系白血病、慢性髓系白血病、慢性淋巴细胞白血病。child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）。","机制较强：Pazopanib Hydrochloride -> FLT3（Receptor-type tyrosine-protein kinase FLT3）在肿瘤方向可通过激酶生化+细胞通路验证；child OT 最强指向急性髓系白血病（score=0.835, genetic=0.547, clinical=0.972, literature=0.999）；ConPLEx=0.914/rank4。 主要限制：novelty 受原适应症/同类药机制影响。",高：输入 disease fit=高、TE feasibility=高；重组酶活和细胞 phospho-readout 成熟。,FLT3 重组激酶 IC50/Kd、ATP 竞争和 DSF/SPR；细胞中检测 phospho-substrate、CETSA/NanoBRET 或下游 pERK/pSTAT/pAKT，并在急性髓系白血病模型做 8-10 点剂量反应。,广谱 kinome/同家族 kinase panel、ATP 竞争、关键下游通路旁路抑制；细胞毒性、聚集体/PAINS、药物原批准主靶点和同类药机制反筛。,高优先保留：child OT、可成药 assay 和计算 rank/score 基本同向；child OT score >=0.80；novelty 偏弱。
