严格novelty排名,排名,审计ID,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,PubMed总窗PMID,上市后PMID,是否同原适应症领域,是否同已知靶点家族,严格novelty选择说明
11,17,strict895_0093,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,BMPR1A,乳腺癌,breast carcinoma,实体瘤,81.56088906991121,0.5462819,2,0.2915950697738313,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
12,25,strict895_0011,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,FGFR3,头颈鳞癌,head and neck squamous cell carcinoma,实体瘤,80.74593357802763,0.45653036,7,0.3455340790234503,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
13,26,strict895_0013,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,BTK,肺鳞癌,squamous cell lung carcinoma,实体瘤,80.62874464780435,0.46554467,4,0.2771848910135263,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
14,28,strict895_0084,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,SYK,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,80.36864805149142,0.44111168,10,0.3163008733996184,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
15,30,strict895_0097,第一轮优先,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,MAP2K2,乳腺癌,breast carcinoma,实体瘤,79.41077191136566,0.5275529,21,0.284923196060696,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
16,31,strict895_0223,第一轮优先,跨大领域老药新用,Naloxegol Oxalate,神经/精神,Neurology/Psychiatry,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.611532,32,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
17,32,strict895_0188,第一轮优先,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.59478486,31,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
18,33,strict895_0143,第一轮优先,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,79.26503418496569,0.55425024,36,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
19,38,strict895_0104,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,AXL,乳腺癌,breast cancer,实体瘤,77.8434065130005,0.47338057,3,0.1371398479852076,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
20,39,strict895_0043,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK1,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,77.38448731065525,0.3813838,27,0.3075515545476405,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
21,40,strict895_0165,第一轮优先,跨大领域老药新用,Dasabuvir Sodium,感染性疾病,Infectious Disease,DDR2,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,77.24219808324096,0.3523357,1,0.4059199444403396,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
22,41,strict895_0252,第一轮优先,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,MMP14,前列腺癌,prostate cancer,实体瘤,77.22790866187418,0.46698534,5,0.3008263464536673,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
23,43,strict895_0019,第一轮优先,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,EZH2,乳腺癌,breast cancer,实体瘤,77.12117383375575,0.46058482,16,0.1760243955743292,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
24,44,strict895_0020,第一轮优先,跨大领域老药新用,Doravirine,未知,,EZH2,乳腺癌,breast cancer,实体瘤,77.12117383375575,0.46058482,16,0.1760243955743292,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
25,45,strict895_0076,第一轮优先,跨大领域老药新用,Doravirine,未知,,MALT1,乳腺癌,breast carcinoma,实体瘤,77.08499554356675,0.40451086,29,0.2907180182325965,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
26,46,strict895_0077,第一轮优先,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,MALT1,乳腺癌,breast carcinoma,实体瘤,77.08499554356675,0.40451086,29,0.2907180182325965,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
27,50,strict895_0111,第一轮优先,跨大领域老药新用,Nevirapine,感染性疾病,Infectious Disease,KCNN4,乳腺癌,breast cancer,实体瘤,76.90269837636052,0.64107674,3,0.2623421500604675,离子通道功能,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
28,51,strict895_0061,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,ITK,前列腺癌,prostate cancer,实体瘤,76.67696979766215,0.463059,5,0.106705916933133,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
29,53,strict895_0060,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,JAK2,骨髓增殖性肿瘤,myeloproliferative neoplasm,实体瘤,76.30351678053488,0.36753774,40,0.2882261739496983,激酶生化/细胞,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
30,54,strict895_0233,第一轮优先,跨大领域老药新用,Palonosetron Hydrochloride,肿瘤,Oncology,SLC6A1,精神分裂症,schizophrenia,神经/精神,76.29476397441098,0.8031629,12,0.2797672877515993,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
31,61,strict895_0004,第一轮优先,跨大领域老药新用,Ombitasvir,感染性疾病,Infectious Disease,IDH2,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,73.28174055653224,0.32210785,1,0.2925944099199518,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
32,63,strict895_0209,第一轮优先,跨大领域老药新用,Siponimod,神经/精神,Neurology/Psychiatry,NOX4,动脉粥样硬化,atherosclerosis,心血管,72.67940616495132,0.46716738,4,0.0982931154793176,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
33,77,strict895_0151,第一轮优先,跨大领域老药新用,Mifepristone,内分泌/代谢,Endocrinology/Metabolic,TRPV3,银屑病,psoriasis,皮肤/免疫,68.43822266930911,0.47951007,27,0.0619741956729978,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
34,82,strict895_0190,第一轮优先,跨大领域老药新用,Givinostat Hydrochloride,肿瘤,Oncology,PDGFRB,慢性肾病,chronic kidney disease,肾脏,66.46764171873579,0.3657379,6,0.032586950462331,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,,,否,否,第一轮优先；跨原适应症领域；非同已知靶点家族；PubMed pair未见报道；ConPLEx>=0.30；药物内rank<=50；有具体病种；排除KRAS/SCN5A/SLC22A12及ADME重的SLC29A1/SLC34A2/SLC5A2。
