candidate_id,pair_id,modeled_entity_name,gene_symbol,origin_summary,recommended_disease,verdict,verdict_label,summary,support,concern,next_step,evidence_scope,source_notes,source_urls,search_log
C384-013,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,MMP12,原发高脂血症及杂合家族高胆固醇血症降低LDL,atherosclerosis,CONDITIONAL,有条件保留,pitavastatin–MMP12可作为现有MMP12体系的候补，优先级低于直接作用线索明确者。,本地动脉粥样硬化遗传关联及排名10；原药身份和HMGCR机制明确。,本轮未找到MMP12直接实验；检索中的Mcl-1 SPR属于另一靶点，不能挪用。阳阴近邻差距小。,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,官方标签片段仅核对原HMGCR机制。,"[""https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a52401eb-a822-475b-a40d-7b8acde2ae1a""]","[{""query"": ""pitavastatin MMP12 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回HMGCR原机制及其他靶点研究，未见MMP12直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-014,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2,成人伴或不伴先兆偏头痛急性治疗；不预防,obesity disorder,DEFER,建议后置,lasmiditan–NTRK2建议后置，不能把神经药身份视为TrkB作用依据。,本地排名10，肥胖图谱关联有遗传记录。,阳性近邻0.310且没有精确配对测量；本轮检索仅回到5-HT1F偏头痛机制。,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,仅引用本轮获得的检索摘要/页面片段；本地排名和近邻为计算线索，未校准命中率。,[],"[{""query"": ""lasmiditan NTRK2 TrkB inhibition"", ""source"": ""web search"", ""outcome"": ""仅获得原偏头痛机制及综述，未定位本配对primary。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-015,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,mesalamine,XDH,模型实体 mesalamine：口服缓释/肠溶制剂用于成人轻中度 UC 诱导及维持缓解，所核片剂儿童≥24kg；栓剂用于成人轻中度活动性溃疡性直肠炎,gout,CONDITIONAL,有条件保留,mesalamine–XDH可保留，但应先解决5-ASA与olsalazine的证据混淆。,本地痛风关联较强、排名12；XDH提供明确的后续酶活验证问题。,检索抑制XO线索主要指olsalazine而非模型mesalamine；阳性近邻0.317低于阴性0.347，小分子量也增加弱响应解释难度。,按精确结构查5-ASA原始XO测量，明确XDH/XO状态和物种；先酶活再用匹配人蛋白确认结合。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,数据库片段的XO抑制归属于olsalazine，专门用于提示实体混淆；未将其作为mesalamine阳性。,"[""https://pubchem.ncbi.nlm.nih.gov/compound/Olsalazine""]","[{""query"": ""mesalamine xanthine oxidase inhibition"", ""source"": ""web search"", ""outcome"": ""出现olsalazine及TPMT相关资料，未确认mesalamine精确XO端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-016,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,CYP26A1,已证实危及生命室性心律失常；高度症状AFIB/AFL复发延迟/窦律维持；未证实增生存、不用于低症状或易逆转情形,open-angle glaucoma,DEFER,建议后置,sotalol–CYP26A1建议后置，当前证据不足以承担新建P450体系成本。,本地排名13和青光眼遗传关联；找到CYP26A1原始选择性筛查可用于核对方法。,没有定位sotalol配对实验；现有CYP26A1参考仅功能依据，含血红素构建仍需验证。,先查42化合物筛查是否有本药及有效浓度；若无额外支持，只在CYP26A1对照已测通时追加。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始论文摘要支持CYP26A1筛查方法与其他配体，尚未确认sotalol在名单内。,"[""https://pubmed.ncbi.nlm.nih.gov/21521770/""]","[{""query"": ""sotalol CYP26A1 inhibition"", ""source"": ""web search"", ""outcome"": ""得到靶点选择性筛查论文，无本药直接命中。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]"
C384-017,XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2,XEPI 1% 外用乳膏：≥2月龄金黄色葡萄球菌或化脓链球菌所致脓疱疮,arthritic joint disease,DEFER,建议后置,ozenoxacin–TYK2建议后置，外用抗菌用途到系统关节病之间仍缺多层验证。,本地关节病遗传关联，阳性近邻0.333。,检索未找到精确配对；TYK2催化域与假激酶域不能互换，现有实验构建未知。,先核TYK2预测位点与蛋白域，已有匹配体系才侦察；直接作用阳性后另查给药暴露。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,仅引用本轮获得的检索摘要/页面片段；本地排名和近邻为计算线索，未校准命中率。,[],"[{""query"": ""ozenoxacin TYK2 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回其他TYK2药物/专利背景，未定位ozenoxacin直接实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-018,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,PIK3CA,症状性BPH；高血压,columnar cell hyperplasia of the breast,CONDITIONAL,有条件保留,terazosin–PIK3CA可保留机制探索，但乳腺柱状细胞增生不是成熟治疗立项。,本地阳性近邻0.392、排名15及体细胞关联。,直接检索混入名称相近的tersolisib，不能作为terazosin证据；未定位精确作用。,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,明确排除检索返回的tersolisib资料，未挪用同名近似药证据。,[],"[{""query"": ""terazosin PIK3CA PI3K inhibition"", ""source"": ""web search"", ""outcome"": ""主要返回tersolisib等其他PI3K药，未确认terazosin配对。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-019,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,AR,Exviera 原欧盟成人慢性丙肝治疗，须与其他药物联合，具体 HCV 基因型及肝病状态按原产品信息,cancer,DEFER,建议后置,dasabuvir–AR建议后置，泛癌症假设不足以支持额外受体投入。,本地排名16，病毒到肿瘤具跨领域新机制潜力。,本轮仅获得NS5B原始研究；未找到AR直接实验，阳性近邻0.301较弱，癌症类别缺具体适用背景。,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,原始论文摘要仅支持HCV NS5B作用与选择性，不提供AR测量。,"[""https://journals.asm.org/doi/10.1128/aac.04619-14""]","[{""query"": ""dasabuvir androgen receptor binding"", ""source"": ""web search"", ""outcome"": ""返回HCV聚合酶原始研究及AR通用资料，无精确配对。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]"
C384-020,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,CYP19A1,避孕（所获植入剂标签最长5年）,osteoporosis,DEFER,建议后置,etonogestrel–CYP19A1可研究类固醇交叉作用，但不应以骨质疏松获益优先。,本地骨质疏松遗传关联，模型排名16。,检索未定位本药芳香化酶直接抑制；其他孕激素代谢、PR亲和不能外推，CYP19A1抑制与目标获益方向须单独论证。,核对含血红素构建并区分底物代谢与抑制；先取得直接酶证据，再决定疾病方向。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,Reactome记录支持CYP19A1在雌激素合成中的作用，仅用于方向问题，不是本药证据。,"[""https://reactome.org/content/detail/R-HSA-9707353""]","[{""query"": ""etonogestrel CYP19A1 aromatase inhibition"", ""source"": ""web search"", ""outcome"": ""获得孕激素/芳香化酶背景，未定位精确本药端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-021,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL4409,tedizolid,PDE10A,敏感革兰阳性菌急性细菌皮肤/结构感染,cardiovascular disorder,CONDITIONAL,有条件保留,tedizolid–PDE10A保留前先核旧panel。,阳性近邻0.356且心血管疾病有遗传关联。,直接检索未命中；既有20µM广谱筛查是否包含PDE10A未知，不能当阴性。,先查panel；未覆盖时可用成熟PDE10A酶活候补，再确认SPR。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://journals.asm.org/doi/10.1128/aac.00431-13""]","[{""query"": ""\""tedizolid\"" \""PDE10A\"""", ""source"": ""web search"", ""outcome"": ""精确检索无直接命中；复用已打开的原药panel论文引言106–107行，未查到PDE10A名单。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-022,XFALPSLJIHVRKE-GFCCVEGCSA-N__CHEMBL5608,tedizolid,NTRK3,敏感革兰阳性菌急性细菌皮肤/结构感染,plasma cell myeloma,DEFER,建议后置,tedizolid–NTRK3先后置于同药NTRK2。,骨髓瘤体细胞关联、阳性近邻0.304。,排名18且没有直接关系检索命中；同药多个Trk候选不是独立证据。,先核旧panel，若TrkB确有信号再考虑TrkC交叉验证。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://journals.asm.org/doi/10.1128/aac.00431-13""]","[{""query"": ""\""tedizolid\"" \""NTRK3\"""", ""source"": ""web search"", ""outcome"": ""精确检索无命中；复用已打开原药panel引言，NTRK3覆盖未知。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-023,ZISJNXNHJRQYJO-CMDGGOBGSA-N__CHEMBL206,tapinarof,ESR1,外用斑块银屑病及特应性皮炎,HER2 positive breast carcinoma,CONDITIONAL,有条件保留,tapinarof–ESR1保留，但需区分AHR间接调节与直接ER结合。,本地HER2乳癌同时有遗传及体细胞关联。,搜索出现ER转录/周转背景及预测网站，均非直接ESR1亲和力；原外用用途不可直接外推全身。,先验证ER-LBD结合及竞争，再区分激动拮抗；同时控制AHR解释。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""tapinarof\"" \""estrogen receptor\"""", ""source"": ""web search"", ""outcome"": ""返回AHR和ER间接联系、预测值；未找到精确直接结合，GEO原页面打开失败。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-024,YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1868,givinostat,FLT1,≥6岁Duchenne肌营养不良,coronary artery disorder,CONDITIONAL,有条件保留,givinostat–FLT1可在已成熟体系中保留侦察。,冠脉病遗传关联较强，阳性近邻0.371。,检索仅见多药表格共现，无本药FLT1直接作用；HDAC间接转录改变不能替代靶点结合。,确认FLT1使用域并用匹配参照；结合阳性再做激酶/受体功能。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""givinostat\"" \""FLT1\"""", ""source"": ""web search"", ""outcome"": ""命中多药名单共现，没有精确配对实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-025,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL2971,ozanimod,JAK2,复发型MS及中重度活动性溃疡性结肠炎,gout,DEFER,建议后置,ozanimod–JAK2建议后置，免疫通路共现不足以确定直接作用。,痛风遗传关联及排名19。,检索主要把S1P药与JAK抑制剂并列，未找到精确配对；旧说明还用银屑病，须以当前痛风假设为准。,先测纯母药JAK2作用，不能将S1P免疫细胞效应当激酶抑制。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""ozanimod\"" \""JAK2\"""", ""source"": ""web search"", ""outcome"": ""返回机制分类综述和多药列表，无直接配对。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-026,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL1981,zavegepant,INSR,成人偏头痛急性治疗，不计预防,thyrotoxicosis,DEFER,建议后置,zavegepant–INSR后置，甲状腺毒症关联离可解释机制较远。,排名9及目标疾病遗传线索。,精确检索未命中；分子量639、受体测量域未知，CGRP原作用不能指向INSR。,明确INSR胞外/激酶域；有成熟对照体系才追加，功能方向单独判定。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""zavegepant\"" \""INSR\"""", ""source"": ""web search"", ""outcome"": ""未检得精确配对来源。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-027,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,cabotegravir,ALDH2,HIV暴露前预防及特定已抑制患者联合rilpivirine短期治疗/注射前导或桥接,gout,CONDITIONAL,有条件保留,cabotegravir–ALDH2可作为成熟酶体系候补。,排名5、痛风遗传关联。,搜索仅出现无关名单共现，无直接测量；阳性近邻0.284有限。,核对ALDH2辅因子和酶活，结合与功能一致才考虑升级。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,[],"[{""query"": ""\""cabotegravir\"" \""ALDH2\"""", ""source"": ""web search"", ""outcome"": ""无关会议名单同时出现两词，非配对证据。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
C384-028,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL3991,nimodipine,F7,动脉瘤破裂蛛网膜下腔出血后减少缺血神经缺损,open-angle glaucoma,DEFER,建议后置,nimodipine–F7后置，病例共现不提供凝血因子结合。,排名5及青光眼关联。,检索病例为F7缺乏者接受nimodipine处理脑血管情况，并非本药F7作用；构建激活状态未知。,先明确F7a而非酶原体系，对照未通过不投入候选。,LOCAL_RECORD_AND_WEB_SEARCH_REVIEW,所列网络来源仅按检索获得片段引用，未阅读全文；非本配对实验会在评价中明示。其余依据本地候选审计记录。,"[""https://pmc.ncbi.nlm.nih.gov/articles/PMC7974464/""]","[{""query"": ""\""nimodipine\"" \""factor VII\"""", ""source"": ""web search"", ""outcome"": ""病例仅疾病与用药共现，无直接作用。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]"
