drug_names,origin_areas,origin_summary,origin_status,source_urls,scope_limits
bempedoic acid,CARDIOVASCULAR;ENDOCRINE_METABOLIC_REPRODUCTIVE,降低限定高危成人心血管事件风险；高胆固醇血症含HeFH降LDL-C,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=88d06d89-a3da-40b4-b273-8f4f7d56c4c9,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
bictegravir,INFECTION,所获BIXLENVO复方标签：与lenacapavir联合替换已病毒抑制成人HIV-1方案,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=072a3c7e-33fb-4a87-ba21-3d8dad3f5c48,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
brexpiprazole,NEURO_PSYCHIATRIC,MDD抗抑郁药辅助；精神分裂症；阿尔茨海默病痴呆相关激越（非按需急救）,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6991c065-0f6e-433a-8f4f-796e0ece327f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=993b584c-7fe6-4551-899f-39146c8508ac,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
bupivacaine,NEURO_PSYCHIATRIC,手术、牙科、诊疗及产科局部/区域麻醉镇痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ee3b5bbe-4013-4682-b6ee-db86e7788077;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=562f4499-f3b7-4d9e-b022-61172176c883;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9679cc05-2f8a-4e88-53b5-6e9122c8b8c0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e391f807-7699-6d82-e053-2a95a90ab641,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
capmatinib,ONCOLOGY,MET exon14跳跃突变转移NSCLC,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=455892c3-d144-4ba8-9ab4-79cabff9876d,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
chloroprocaine,NEURO_PSYCHIATRIC;EYE_ENT,局部浸润及外周/部分中枢神经阻滞麻醉；眼表麻醉,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ea3b2d2c-8b33-d199-e053-2995a90a699c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4305ab6b-6038-9daa-e063-6294a90a018e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=94d13f48-fbca-67b4-e053-2995a90a791b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a844e68a-1462-40e4-be5e-f56214906eb9,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
clascoterone,DERMATOLOGIC,寻常痤疮外用治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1673a84b-7f5c-47ab-a99c-1e3db21a6a09,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
cobimetinib,ONCOLOGY,与vemurafenib联合BRAF突变黑色素瘤；单药组织细胞肿瘤,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c387579e-cee0-4334-bd1e-73f93ac1bde6,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
copanlisib,ONCOLOGY,既往复发滤泡淋巴瘤二线以上；美国适应症已撤销，不标当前可用获批,EXTERNAL_REVIEWED,https://www.fda.gov/drugs/resources-information-approved-drugs/withdrawn-cancer-accelerated-approvals,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 FDA 2024-03-18撤销；只记录历史原用途。
dabrafenib,ONCOLOGY,BRAF突变黑色素瘤（含辅助）、NSCLC、间变甲状腺癌及限定实体瘤/低级别胶质瘤；多用途要求联合trametinib,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fee1e6b1-e1a5-4254-9f2e-a70e0f8dbdea,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
desonide,DERMATOLOGIC;IMMUNE_INFLAMMATORY,皮质激素敏感皮肤病炎症和瘙痒,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=af607c32-3da9-4fbe-99e7-4934a5c8d8f0;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9eade7ae-effc-49b5-af7d-8caa183ff252;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0892a9fd-74e6-4a5e-8bc8-9d4146cadb61;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c3420815-e9d8-4c19-b601-b918b0aa1f84,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
deutetrabenazine,NEURO_PSYCHIATRIC,亨廷顿病舞蹈症；迟发性运动障碍,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7ea3c60a-45c7-44cc-afc2-d87fa53993c0,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
dexrazoxane,CARDIOVASCULAR;TOXICITY;ONCOLOGY,限定乳癌doxorubicin累积治疗的心肌病减毒支持,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cb72203a-0b09-42d5-bf51-7f479feb3adb;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9cbd2987-10bb-eceb-153d-ee7be1ed0c84;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e9550d22-6069-a6de-9968-6a18c9e0448f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a7c01089-85f5-40aa-b679-f53a425b4d68,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
diazoxide,ENDOCRINE_METABOLIC_REPRODUCTIVE;ONCOLOGY,高胰岛素性低血糖（含胰岛腺瘤/癌及胰外肿瘤相关）；可术前暂时及术后持续低血糖支持,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=abe317a5-6c63-469c-89c8-9fedfe859c3d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c0237320-2d3f-4907-a4d3-08f138aa4ca8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0e745e85-9512-e360-e063-6394a90aebf1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b16c7832-2fd9-49af-b923-1dc0d91fd6e2,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
dolutegravir,INFECTION,联合抗逆转录病毒HIV-1治疗；与rilpivirine联合限定病毒抑制成人方案替换,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=63df5af3-b8ac-4e76-9830-2dbb340af922;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=485bc9db-8665-9f5a-e063-6394a90a7921,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
doripenem,INFECTION,复杂腹腔感染；复杂尿路感染含肾盂肾炎,EXTERNAL_REVIEWED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022106s015lbl.pdf,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
duloxetine,NEURO_PSYCHIATRIC;MUSCULOSKELETAL_CONNECTIVE,MDD、GAD；糖尿病周围神经病痛、纤维肌痛及慢性肌骨疼痛,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ed164dbb-e713-42d1-a78e-31145578b9f8;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=00628e5e-4c5b-2573-e063-6294a90a0e3b;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=461d769c-b787-4bc7-b4a6-7a5f33ae9d45;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=79e1a9b1-e084-48b6-a252-97bbd2f55a79,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
efavirenz,INFECTION,联合其他抗逆转录病毒药HIV-1治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=13ca3456-e5bf-4bb1-af95-b1378658a358;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=92603fa5-7a2c-4bfb-9a70-aadb4fba952c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4c57ad7f-321a-46c8-851a-c895466eb8e1;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c5eedb5d-4cab-4056-a14a-ffdf67701355,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
elvitegravir,INFECTION,含elvitegravir复方抗逆转录病毒方案治疗HIV-1,EXTERNAL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8ac4d501-7f05-426e-93be-a42240087b0c,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。 此处来源是复方整体适应症，仅作该成分既有临床使用场景；不是该成分单药疗效获批。
epinephrine,CARDIOVASCULAR;IMMUNE_INFLAMMATORY;EYE_ENT,感染性休克低血压升压；严重过敏急救；眼内手术散瞳,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=55befbe4-c819-4367-bbe7-de5841786aac;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5ba14408-c8fb-4734-aad9-ee19696acac2;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5725a519-3ad6-7e5e-e063-6394a90a111f;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5726eeca-db88-ba8e-e063-6294a90a927d,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
etonogestrel,ENDOCRINE_METABOLIC_REPRODUCTIVE,避孕（所获植入剂标签最长5年）,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=487f8a62-e142-457c-97cc-2e398fde7594,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
fexofenadine,IMMUNE_INFLAMMATORY;EYE_ENT;RESPIRATORY,花粉热/上呼吸道过敏相关鼻眼症状缓解,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fe864426-c0d6-492a-96be-cd44fd9ca054;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0a3d4d1f-a99f-4d0a-bb28-b2409a9e073a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b5aa481-205d-4935-ae58-fcb8cbc35c4c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd0da52b-fc82-4ec9-854c-0d7c52e926fb,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
fluvoxamine,NEURO_PSYCHIATRIC,强迫症治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49601858-df61-4522-ac99-0d2892f92e11;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6c71d4f6-54b5-4d3a-8d2f-b7773c92c32e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d492230c-f56a-4759-ba86-7090b9f44063;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0b107225-ed5a-4461-9184-f3f2bad1892f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
gemcitabine,ONCOLOGY,卵巢癌、乳癌、NSCLC限定联合；胰腺癌单药,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e11eeff7-bcaf-4bf1-8da8-88138e01af84;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dc02a23b-3ff9-4441-aa91-8e9e629a7315;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d80176fe-3e8b-48be-87c2-9c603013b3fa;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3aef8dbc-34d0-4150-89f0-3b16cf0fbfdb,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
glasdegib,ONCOLOGY,联合低剂量cytarabine治疗高龄或不适于强化诱导的新诊断AML,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=204a6f7e-c9a4-472b-abd2-9527bda64d17,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
guanfacine,CARDIOVASCULAR;NEURO_PSYCHIATRIC,普通剂型高血压；缓释ADHD单药及兴奋剂辅助,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=04a3bd2d-9a9c-43e8-a0e2-280e02265f16;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8348e63a-5cbc-489e-b7bf-046c65ba2e8e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ab2e3597-14fc-4614-ae87-0d1d18188a68;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6e16cf54-c0d7-47ea-b502-c2146fd87f23,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
idelalisib,ONCOLOGY,限定复发CLL联合rituximab；标签否定的FL/SLL等用途未计入,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=efbdafa9-d18c-4e85-b4a2-1e620fc74e50,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
indacaterol,RESPIRATORY,成人COPD维持支气管扩张治疗,EXTERNAL_REVIEWED,https://www.ema.europa.eu/en/documents/product-information/onbrez-breezhaler-epar-product-information_en.pdf,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
ivabradine,CARDIOVASCULAR,限定窦律HFrEF降低心衰住院；儿童扩张型心肌病症状性心衰,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=676907d3-b374-4baa-8422-c04706409540;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=92018a65-38f6-45f7-91d4-a34921b81d0d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e881a1ac-9221-4682-939f-966679cfe286;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2ead1cf3-e61a-49c4-e063-6294a90a330f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
ketoprofen,MUSCULOSKELETAL_CONNECTIVE;IMMUNE_INFLAMMATORY;NEURO_PSYCHIATRIC;ENDOCRINE_METABOLIC_REPRODUCTIVE,RA、OA症状缓解；疼痛及原发性痛经,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4e7bceb6-dcb5-c5e0-e063-6294a90a101e;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=492de5dc-7c1b-47be-8510-43be4e1fd4ed;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=47d0b808-7142-c7a9-e063-6394a90a6e0d;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=198a4140-f4c0-4478-9157-ee1d68d0bb96,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
landiolol,CARDIOVASCULAR,室上性心动过速短期心室率控制，成人含房颤房扑,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=27e7f20f-78a4-f1a9-e063-6394a90ae465,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
lenalidomide,ONCOLOGY,MM治疗/移植后维持；5q缺失MDS输血依赖贫血；MCL；限定FL/MZL联合rituximab,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1b2716cf-24b4-4157-a218-58ede63917bd;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=da7b5dda-79ed-4c4a-88aa-52394fdc7c54;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9c414531-a3bf-455a-aca7-9e716f42099a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9959cd7e-12b6-4b59-8205-d5f6e7e7d09b,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
levetiracetam,NEURO_PSYCHIATRIC,部分起始癫痫；肌阵挛及原发全身强直阵挛发作辅助治疗,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d307850-0ed5-4f32-ac62-0e1e2fe27a7a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2d57f22f-fecc-466e-a444-87708c7c2f80;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5517b148-1eff-6421-e063-6394a90a9498;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9bdef24b-c50e-4e6a-8650-59d78009f472,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
linagliptin,ENDOCRINE_METABOLIC_REPRODUCTIVE,2型糖尿病饮食运动辅助降糖,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dfe327e8-f6ab-41e5-bdef-d520118cd83a;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c797ea5c-cab7-494b-9044-27eba0cfe40f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
loperamide,GASTROINTESTINAL,急性含旅行者腹泻及IBD相关慢性腹泻对症；减少回肠造口排出,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d8a55fb6-bb57-42d6-8e20-67fc91f38097;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5a728c6d-26ec-3316-e063-6394a90ade08;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=59e1c4cf-17cc-13c9-e063-6294a90af61c;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=68467222-c8b4-4029-a180-59a57d0090d3,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
lubiprostone,GASTROINTESTINAL,慢性特发便秘；慢性疼痛阿片相关便秘；成年女性IBS-C,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f4d506e0-1322-4fc4-e053-2995a90ac880;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=006b8b6c-f0eb-4246-87da-67582984b0e4;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=164a2b47-0a52-4bb4-9e71-5342c2e951f4;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5fd683a5-87ff-42b8-a8c8-fff81625f67f,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
macimorelin,ENDOCRINE_METABOLIC_REPRODUCTIVE,成人生长激素缺乏诊断用途,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aeb30f1a-4815-47ae-a2cb-b6b4e26372e1,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
memantine,NEURO_PSYCHIATRIC,中重度阿尔茨海默型痴呆,LABEL_REVIEWED,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=007d4cb9-3fa9-40f3-b5ca-4083eccd6038;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cbfd9d95-f50b-45ff-9857-9f1712c45e56;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=becb09dc-174d-4817-88d4-f38c8adcd309;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d0a5e0fc-04e3-417d-bef3-9b309ff71597,人工阅读所得标签用途；每药API最多30条，非完整所有地区获批史；类别包含对症/预防/辅助用途，不等同疾病修饰。
