review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0371,Ripretinib,CCND1,CCND1扩增ER+乳腺癌、套细胞淋巴瘤、结直肠癌,机制链条偏弱或不可优先：CCND1与CCND1扩增ER+乳腺癌、套细胞淋巴瘤、结直肠癌的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,Cyclin D1-CDK4/6复合物SPR/CETSA及体外pRb激酶读数；同步检测Cyclin D1蛋白稳定性,CDK4/6直接抑制、广谱细胞周期阻滞、蛋白降解/蛋白酶体效应和细胞毒性反筛,high,P4_deprioritize,deprioritize,存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；CCND1更像通路/复合物依赖靶点，直接小分子结合难，pRb下降不能单独证明engagement。；不建议进入主筛选列表。
strict895_0372,Trifarotene,ESR1,ER阳性乳腺癌、子宫内膜癌,机制中等可信：ESR1与ER阳性乳腺癌、子宫内膜癌匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中高：reporter、配体结合和CETSA可操作，但核受体交叉活性与广谱转录效应是主要噪音。,ESR1配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,high,P2_keep_medium,keep_medium,存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0373,Ozanimod Hydrochloride,KRAS,黑色素瘤仅作肿瘤皮肤来源模型；银屑病/皮炎方向不优先,机制链条偏弱或不可优先：KRAS与黑色素瘤仅作肿瘤皮肤来源模型；银屑病/皮炎方向不优先的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,KRAS-GTP pull-down、SOS1介导核苷酸交换/RAF-RBD结合实验；KRAS突变细胞pERK剂量反应,HRAS/NRAS、RAF/MEK/EGFR通路旁路，核苷酸/去垢剂敏感聚集体、细胞毒性反筛,high,P4_deprioritize,deprioritize,ConPLEx分数偏低，必须正交验证。；药内排名靠后，优先级下降。；KRAS直接成药和突变背景要求高；皮肤炎症方向尤其不具体。；不建议进入主筛选列表。
strict895_0374,Dexamethasone,KRAS,黑色素瘤仅作肿瘤皮肤来源模型；银屑病/皮炎方向不优先,机制链条偏弱或不可优先：KRAS与黑色素瘤仅作肿瘤皮肤来源模型；银屑病/皮炎方向不优先的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,KRAS-GTP pull-down、SOS1介导核苷酸交换/RAF-RBD结合实验；KRAS突变细胞pERK剂量反应,HRAS/NRAS、RAF/MEK/EGFR通路旁路，核苷酸/去垢剂敏感聚集体、细胞毒性反筛,high,P4_deprioritize,deprioritize,ConPLEx分数偏低，必须正交验证。；药内排名靠后，优先级下降。；KRAS直接成药和突变背景要求高；皮肤炎症方向尤其不具体。；不建议进入主筛选列表。
strict895_0375,Acyclovir,PTPN11,SHP2依赖RTK/RAS通路肿瘤，如NSCLC、AML/JMML、胃肠道肿瘤,机制可检验但证据主要来自预测；PTPN11与SHP2依赖RTK/RAS通路肿瘤，如NSCLC、AML/JMML、胃肠道肿瘤有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,SHP2 allosteric/catalytic phosphatase assay、SPR/DSF；细胞pERK和RTK刺激-救援实验,PTP家族选择性、还原/氧化/巯基反应、磷酸酶底物干扰和细胞毒性反筛,high,P3_review_low,review_low,ConPLEx分数偏低，必须正交验证。
strict895_0376,Zidovudine,AR,AR驱动前列腺癌、AR阳性乳腺癌,机制链条偏弱或不可优先：AR与AR驱动前列腺癌、AR阳性乳腺癌的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,AR配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,high,P4_deprioritize,deprioritize,ConPLEx分数偏低，必须正交验证。；药内排名靠后，优先级下降。；不建议进入主筛选列表。
strict895_0377,Lacosamide,SLC6A1,GABA转运异常癫痫、神经兴奋性异常；神经退行性模型仅探索,机制中等可信：SLC6A1与GABA转运异常癫痫、神经兴奋性异常；神经退行性模型仅探索匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中等到中高：摄取/外排实验可行，但底物选择、离子梯度、外排转运和细胞状态会显著影响读数。,SLC6A1过表达细胞或神经元GABA摄取IC50；Na+/Cl-依赖性和洗脱可逆性确认,SLC6A2/3/4和其他GABA/氨基酸转运体，膜电位/离子梯度、P-gp/BCRP外排和细胞毒性反筛,medium,P2_keep_medium,keep_medium,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0378,Selpercatinib,AR,AR驱动前列腺癌、AR阳性乳腺癌,Selpercatinib-AR有较强再发现/同方向或同家族风险；AR与AR驱动前列腺癌、AR阳性乳腺癌的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,AR配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,high,P0_control_only,control_only,本地状态提示已有老药新靶文献线索，创新性折扣。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0379,Ribociclib Succinate,KIT,KIT突变GIST、系统性肥大细胞增多症、AML,Ribociclib Succinate-KIT有较强再发现/同方向或同家族风险；KIT与KIT突变GIST、系统性肥大细胞增多症、AML的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,KIT kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pKIT/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P0_control_only,control_only,存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0380,Fulvestrant,BRAF,BRAF/MAPK驱动黑色素瘤或角质形成细胞过增殖；炎症性皮肤病为次级,机制可检验但证据主要来自预测；BRAF与BRAF/MAPK驱动黑色素瘤或角质形成细胞过增殖；炎症性皮肤病为次级有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,BRAF kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pBRAF/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P3_review_low,review_low,本地状态提示已有老药新靶文献线索，创新性折扣。
strict895_0381,Dacomitinib,KIT,KIT突变GIST、系统性肥大细胞增多症、AML,Dacomitinib-KIT有较强再发现/同方向或同家族风险；KIT与KIT突变GIST、系统性肥大细胞增多症、AML的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,KIT kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pKIT/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P0_control_only,control_only,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0382,Varenicline Tartrate,EGFR,靶点提示：NSCLC、头颈鳞癌、结直肠癌、皮肤/上皮增殖疾病；CREEDS 相关签名：neurofibromatosis；oligodendroglioma；方向候选：神经退行性疾病、癫痫/兴奋性异常、神经炎症或睡眠/认知相关模型,机制中等可信：EGFR与靶点提示：NSCLC、头颈鳞癌、结直肠癌、皮肤/上皮增殖疾病；CREEDS 相关签名：neurofibromatosis；oligodendroglioma；方向候选：神经退行性疾病、癫痫/兴奋性异常、神经炎症或睡眠/认知相关模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,优先 kinase biochemical IC50/Kd 或 ADP-Glo/迁移率法；细胞层面用 phospho-substrate/target engagement 验证,同家族 kinase panel、ATP-competitive counterscreen、细胞毒性/增殖非特异反筛,medium,P2_keep_medium,keep_medium,本地状态提示已有老药新靶文献线索，创新性折扣。
strict895_0383,Selinexor,KIT,KIT突变GIST、系统性肥大细胞增多症、AML,Selinexor-KIT有较强再发现/同方向或同家族风险；KIT与KIT突变GIST、系统性肥大细胞增多症、AML的疾病生物学成立，但不宜作为新颖优先假说，适合作为阳性或文献复现对照。,实验可行性通常较好，但主要价值是方法学/再发现对照；需避免把已知同类药理误判为新发现。,KIT kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pKIT/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P0_control_only,control_only,本地状态提示已有老药新靶文献线索，创新性折扣。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。；建议作为阳性/再发现或家族泄漏对照，不计入新颖优先发现。
strict895_0384,Tucatinib,KIT,KIT突变GIST、系统性肥大细胞增多症、AML,机制中等可信：KIT与KIT突变GIST、系统性肥大细胞增多症、AML匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,KIT kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pKIT/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P2_keep_medium,keep_medium,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0385,Difluprednate,MAP2K1,银屑病/角质形成细胞MAPK过活化、特应性皮炎探索模型,机制链条偏弱或不可优先：MAP2K1与银屑病/角质形成细胞MAPK过活化、特应性皮炎探索模型的关系不够支持该药直接作用，且存在靶点难成药、疾病方向泛化或药物本身药理混杂。,可做初筛但不建议投入主线资源；除非低成本正交实验出现清晰剂量依赖，否则不推进。,MAP2K1 kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pMAP2K1/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P4_deprioritize,deprioritize,不建议进入主筛选列表。
strict895_0386,Fosnetupitant Chloride Hydrochloride,KCNK3,肺动脉高压、右心室肥厚/失代偿心衰模型,机制中等可信：KCNK3与肺动脉高压、右心室肥厚/失代偿心衰模型匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中等到中高：电生理可直接验证，但成本较高，需严格做hERG/同家族通道和膜扰动反筛。,KCNK3手动/自动膜片钳剂量反应；必要时用电流-电压曲线和洗脱可逆性确认直接通道调节,hERG/KCNH2、SCN5A、同亚型通道panel，膜扰动、细胞毒性和非特异电生理伪影反筛,medium,P2_keep_medium,keep_medium,主要风险来自预测靶点需实验确认和疾病模型需进一步具体化。
strict895_0387,Diroximel Fumarate,CTSK,肥胖/胰岛素抵抗为探索性；骨质疏松或骨重塑模型更贴近靶点,机制可检验但证据主要来自预测；CTSK与肥胖/胰岛素抵抗为探索性；骨质疏松或骨重塑模型更贴近靶点有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,CTSK荧光底物和胶原降解实验；成骨/破骨细胞体系中CETSA或活性探针确认,CTSS/CTSB/CTSL选择性，酸性pH依赖、钙/胶原读数干扰和溶酶体毒性反筛,high,P3_review_low,review_low,主要风险来自预测靶点需实验确认和疾病模型需进一步具体化。
strict895_0388,Ribociclib Succinate,LCK,SRC家族依赖白血病/淋巴瘤、AML/T细胞白血病；实体瘤为次级,机制可检验但证据主要来自预测；LCK与SRC家族依赖白血病/淋巴瘤、AML/T细胞白血病；实体瘤为次级有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,LCK kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pLCK/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P3_review_low,review_low,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0389,Dasabuvir Sodium,BRAF,BRAF V600突变黑色素瘤、结直肠癌、甲状腺癌,机制中等可信：BRAF与BRAF V600突变黑色素瘤、结直肠癌、甲状腺癌匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,BRAF kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pBRAF/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,medium,P2_keep_medium,keep_medium,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。
strict895_0390,Sonidegib Phosphate,SLC34A2,SLC34A2高表达肺鳞癌/肺腺癌、子宫内膜癌,机制可检验但证据主要来自预测；SLC34A2与SLC34A2高表达肺鳞癌/肺腺癌、子宫内膜癌有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,中等到中高：摄取/外排实验可行，但底物选择、离子梯度、外排转运和细胞状态会显著影响读数。,SLC34A2钠依赖磷酸盐摄取实验；过表达细胞、空载体和低钠条件确认target engagement,SLC34A1/A3、其他阴离子/磷酸盐转运体，培养基磷酸盐、外排转运、底物读数干扰和细胞毒性反筛,high,P3_review_low,review_low,疾病方向接近原标签或同治疗领域，老药新用价值需打折。；SLC34A2读数强依赖钠/磷酸盐条件，肿瘤表型容易被细胞状态混淆。
strict895_0391,Osimertinib Mesylate,KCND3,室性/房性心律失常、心衰复极异常模型,机制可检验但证据主要来自预测；KCND3与室性/房性心律失常、心衰复极异常模型有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,中等到中高：电生理可直接验证，但成本较高，需严格做hERG/同家族通道和膜扰动反筛。,KCND3手动/自动膜片钳剂量反应；必要时用电流-电压曲线和洗脱可逆性确认直接通道调节,hERG/KCNH2、SCN5A、同亚型通道panel，膜扰动、细胞毒性和非特异电生理伪影反筛,high,P3_review_low,review_low,ConPLEx分数偏低，必须正交验证。；原自动lane按转运体处理不合适，应改为Kv4.3电生理。
strict895_0392,Selinexor,PDGFRA,PDGFRA突变GIST、胶质瘤、肉瘤模型,机制可检验但证据主要来自预测；PDGFRA与PDGFRA突变GIST、胶质瘤、肉瘤模型有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,PDGFRA kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pPDGFRA/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P3_review_low,review_low,疾病方向接近原标签或同治疗领域，老药新用价值需打折。
strict895_0393,Ulipristal Acetate,NR3C2,盐皮质激素相关高血压、心衰液体潴留、心肌纤维化,机制中等可信：NR3C2与盐皮质激素相关高血压、心衰液体潴留、心肌纤维化匹配且有可实验验证的功能读数，但需先排除ConPLEx预测、同家族活性或原适应症方向带来的假阳性。,中高：reporter、配体结合和CETSA可操作，但核受体交叉活性与广谱转录效应是主要噪音。,NR3C2配体结合/共调节因子招募、CETSA和reporter assay；下游靶基因qPCR作为正交功能读数,GR/PR/AR/ER/MR等核受体选择性，广谱转录调控、荧光素酶干扰和细胞毒性反筛,medium,P2_keep_medium,keep_medium,存在同靶点家族/同药理类别泄漏风险。
strict895_0394,Apalutamide,FGFR2,FGFR2融合/扩增胆管癌、胃癌、乳腺癌,机制可检验但证据主要来自预测；FGFR2与FGFR2融合/扩增胆管癌、胃癌、乳腺癌有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,FGFR2 kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pFGFR2/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P3_review_low,review_low,疾病方向接近原标签或同治疗领域，老药新用价值需打折。；药内排名靠后，优先级下降。
strict895_0395,Belinostat,KCNK3,肺动脉高压、右心室肥厚/失代偿心衰模型,机制可检验但证据主要来自预测；KCNK3与肺动脉高压、右心室肥厚/失代偿心衰模型有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,中等到中高：电生理可直接验证，但成本较高，需严格做hERG/同家族通道和膜扰动反筛。,KCNK3手动/自动膜片钳剂量反应；必要时用电流-电压曲线和洗脱可逆性确认直接通道调节,hERG/KCNH2、SCN5A、同亚型通道panel，膜扰动、细胞毒性和非特异电生理伪影反筛,high,P3_review_low,review_low,ConPLEx分数偏低，必须正交验证。
strict895_0396,Ribociclib Succinate,LYN,SRC家族依赖白血病/淋巴瘤、AML/T细胞白血病；实体瘤为次级,机制可检验但证据主要来自预测；LYN与SRC家族依赖白血病/淋巴瘤、AML/T细胞白血病；实体瘤为次级有一定生物学连接，当前药物-靶点关系、疾病具体化或同方向风险不足以直接进入高优先级。,高到中高：可用成熟生化/结合实验和细胞p信号或活性读数确认target engagement。,LYN kinase IC50/Kd或NanoBRET/SPR；细胞层面检测配体刺激后的pLYN/下游pERK、pAKT或靶底物剂量反应,同家族/广谱kinome panel、ATP竞争性、上游RTK旁路、细胞毒性和增殖非特异反筛,high,P3_review_low,review_low,本地PubMed审计未见已报道线索，若验证阳性有一定新颖性。；存在同靶点家族/同药理类别泄漏风险。；疾病方向接近原标签或同治疗领域，老药新用价值需打折。
