review_id,drug_name,target_gene,final_candidate_diseases_zh,final_mechanism_assessment_zh,final_feasibility_assessment_zh,assay_recommendation_zh,counterscreen_recommendation_zh,risk_level,priority_after_agent,agent_decision,agent_notes_zh
strict895_0551,Bosutinib Monohydrate,ITK,T 细胞白血病/淋巴瘤、CLL；前列腺癌证据较弱,机制审计：优先保留。ITK 是 T 细胞受体下游 Tec 家族激酶，T 细胞白血病/淋巴瘤机制比输入的低分前列腺癌 child 更合理。child OT 和靶点生物学共同支持具体病种，适合进入首轮正交验证。 child OT 最佳疾病为 prostate cancer（score=0.107）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,ITK 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中,P1_keep_high,keep_high,"建议进入首轮小规模正交验证。 审计依据：child OT=prostate cancer(0.107), ConPLEx=0.560/rank19; literature_status=unreported_in_local_pubmed_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0552,Difluprednate,RXRA,银屑病（Open Targets child 优先）、特应性皮炎/角化异常,机制审计：低优先级可审。RXRA 参与维甲酸/核受体分化调控，银屑病和角化异常有疾病生物学，但外用激素原药理会强混淆。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 psoriasis（score=0.585）。,实验可行性中：reporter 和配体结合 assay 可快速验证，但需正交靶基因和受体选择性排除 reporter 假阳性。,RXRA/RXR reporter、共激活因子招募和 ligand-binding assay；角质形成细胞中测分化/炎症靶基因。,同家族核受体选择性、广谱转录、细胞毒性、荧光素酶/荧光干扰、原药理受体和激素/维甲酸通路反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=psoriasis(0.585), ConPLEx=0.285/rank48; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；reporter 易受广谱转录、细胞毒性和荧光素酶干扰影响；同靶点家族可能存在机制泄漏/选择性不足。"
strict895_0553,Palbociclib,BMPR2,扩张型/围产期心肌病、动脉粥样硬化；BMPR2 血管重塑模型,机制审计：低优先级可审。BMPR2 与 BMP-SMAD 血管重塑相关，心肌病/血管表型可以讲通但本行 child OT 支持很弱。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 peripartum cardiomyopathy（score=0.047）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,BMPR2/BMP4 刺激下 pSMAD1/5/8 Western/HTRF/reporter，辅以受体 kinase 结合或热稳定性；内皮/平滑肌细胞做功能 readout。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=peripartum cardiomyopathy(0.047), ConPLEx=0.420/rank76; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同靶点家族可能存在机制泄漏/选择性不足。"
strict895_0554,Dacomitinib,FLT1,结直肠癌血管生成模型；蛋白尿性 CKD/肾小球内皮损伤仅作低优先级探索,机制审计：建议降级。FLT1/VEGFR1 与血管生成和内皮功能相关，实体瘤血管生成故事合理但 child OT 具体疾病分数很低。但该 drug-target-disease 链条缺少足够直接性，或更像安全性/原药理/通路下游信号。 child OT 最佳疾病为 chronic kidney disease（score=0.038）。,技术上可做初筛，但 child disease 支持、药物-靶点可信度或 novelty 不足，不建议占用主验证资源。,FLT1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,高,P4_deprioritize,deprioritize,"不建议进入主候选列表，除非新增强直接结合或疾病模型证据。 审计依据：child OT=chronic kidney disease(0.038), ConPLEx=0.263/rank13; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同靶点家族可能存在机制泄漏/选择性不足。"
strict895_0555,Pazopanib Hydrochloride,TEK,胃肠道间质瘤（Open Targets child）、肺癌/肺大细胞癌；肿瘤血管生成,机制审计：中等优先保留。TEK/TIE2 调控血管成熟和肿瘤微环境，GIST/肺癌等疾病信号中等且同类 TKI 泄漏风险明显。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 gastrointestinal stromal tumor（score=0.363）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,TEK 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=gastrointestinal stromal tumor(0.363), ConPLEx=0.541/rank13; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0556,Afatinib Dimaleate,FLT1,结直肠癌血管生成模型；蛋白尿性 CKD/肾小球内皮损伤仅作低优先级探索,机制审计：低优先级可审。FLT1/VEGFR1 与血管生成和内皮功能相关，实体瘤血管生成故事合理但 child OT 具体疾病分数很低。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 chronic kidney disease（score=0.038）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,FLT1 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=chronic kidney disease(0.038), ConPLEx=0.314/rank13; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0557,Entrectinib,IGF1R,肝细胞癌（优先）、IGF1R-PI3K/MAPK 依赖实体瘤,机制审计：中等优先保留。IGF1R 通过 PI3K/MAPK 促生长信号支持 HCC 等实体瘤，文献信号强但同方向抗肿瘤 novelty 需要打折。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 hepatocellular carcinoma（score=0.205）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,IGF1R 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=hepatocellular carcinoma(0.205), ConPLEx=0.331/rank6; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0558,Palbociclib,PRKCB,弥漫大 B 细胞淋巴瘤（Open Targets child 优先）、CLL/CML/多发性骨髓瘤,机制审计：中等优先保留。PRKCB 参与 BCR/PKC 信号和淋巴瘤生存，DLBCL/CLL 等血液肿瘤模型比泛实体瘤更合理。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 diffuse large B-cell lymphoma（score=0.361）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,PRKCB 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=diffuse large B-cell lymphoma(0.361), ConPLEx=0.494/rank27; literature_status=unreported_in_local_pubmed_audit. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0559,Argatroban,TYR,黑色素瘤/原位黑色素瘤；银屑病仅作皮肤炎症对照,机制审计：低优先级可审。TYR 是黑色素合成酶，黑色素瘤和皮肤色素模型有清楚生物学 readout，适合做直接酶学确认。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 melanoma（score=0.555）。,实验可行性中高：可用酶活/结合 assay 直接验证，阳性后再用疾病细胞模型确认功能窗口。,TYR/DOPA oxidation 酶活、melanin 生成和铜螯合控制；黑色素细胞/黑色素瘤细胞做剂量反应。,同酶家族选择性、PAINS/聚集体、金属螯合/还原氧化、荧光/发光干扰、细胞毒性和原药理靶点反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=melanoma(0.555), ConPLEx=0.244/rank8; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同靶点家族可能存在机制泄漏/选择性不足。"
strict895_0560,Ritonavir,CCND1,乳腺癌/乳腺腺癌；仅可作为细胞周期通路 readout，不建议作为直接靶点,机制审计：建议降级。CCND1 是细胞周期调控蛋白而非理想直接小分子靶点，乳腺癌 OT 分数高也不能自动支持 drug-target 直接作用。但该 drug-target-disease 链条缺少足够直接性，或更像安全性/原药理/通路下游信号。 child OT 最佳疾病为 breast cancer（score=0.664）。,可行性低：可做 reporter 或下游 biomarker，但无法证明直接小分子结合，主效应很可能来自细胞应激/原药理。,Cyclin D1/CDK4/6 复合物、pRb 和细胞周期 readout 仅作下游验证；需另找直接结合靶点，不建议以 CCND1 为 primary TE。,DNA 损伤、细胞毒性/细胞周期停滞、广谱转录改变、荧光素酶/发光干扰和原药理通路反筛；阳性不能单独视为直接 engagement。,高,P4_deprioritize,deprioritize,"不建议进入主候选列表，除非新增强直接结合或疾病模型证据。 审计依据：child OT=breast cancer(0.664), ConPLEx=0.253/rank61; literature_status=not_audited_in_local_literature_table. 主要风险：靶点更偏通路/转录调控，直接小分子结合验证难度较高；CCND1 不适合作为常规直接结合小分子靶点。"
strict895_0561,Rocuronium Bromide,SCN2A,双相障碍（Open Targets child 优先）、癫痫/精神分裂症兴奋性模型,机制审计：建议降级。SCN2A/Nav1.2 与神经元兴奋性和精神/癫痫表型相关，但 rocuronium CNS 暴露和疾病适配性很差。但该 drug-target-disease 链条缺少足够直接性，或更像安全性/原药理/通路下游信号。 child OT 最佳疾病为 bipolar disorder（score=0.714）。,技术上可用膜片钳验证，但治疗场景、暴露或安全窗口不支持作为主 repurposing 项目。,SCN2A/Nav1.2 自动膜片钳或电压敏感染料 readout，测电流-电压曲线、失活动力学和剂量反应。,hERG/KCNH2、SCN5A/Nav 家族、K/Ca 通道 panel、膜扰动、细胞毒性、溶剂/渗透压效应反筛；CNS 适应症还需暴露/BBB 风险评估。,高,P4_deprioritize,deprioritize,"不建议进入主候选列表，除非新增强直接结合或疾病模型证据。 审计依据：child OT=bipolar disorder(0.714), ConPLEx=0.276/rank29; literature_status=not_audited_in_local_literature_table. 主要风险：同标签或同治疗方向 novelty 折扣；离子通道实验成本较高，需安全性通道反筛；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0562,Axitinib,PDGFRB,乳腺癌（Open Targets child）、肺腺癌/胰腺导管腺癌；肿瘤基质/血管周细胞模型,机制审计：中等优先保留。PDGFRB 与肿瘤基质、血管周细胞和血管生成相关，乳腺癌/胰腺癌模型合理但 TKI 家族选择性需严格确认。drug-target-disease 链条有合理 biological story，但同家族或同方向风险需要用正交实验拆开。 child OT 最佳疾病为 breast cancer（score=0.428）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,PDGFRB 重组激酶酶活 IC50/Kd 或 NanoBRET/CETSA/SPR/DSF 结合；细胞层面测对应 phospho-substrate 和下游 pERK/pAKT/pSTAT/pSMAD 剂量反应。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。 对 RTK/血管生成靶点需加 VEGFR/PDGFR/KIT/FGFR 家族选择性。,中高,P2_keep_medium,keep_medium,"建议保留到二线验证，先确认 target engagement 和选择性。 审计依据：child OT=breast cancer(0.428), ConPLEx=0.544/rank5; literature_status=not_audited_in_local_literature_table. 主要风险：同靶点家族/选择性泄漏风险；同标签或同治疗方向 novelty 折扣；同靶点家族可能存在机制泄漏/选择性不足；疾病方向接近原适应症，老药新用 novelty 较弱。"
strict895_0563,Netupitant,BMPR2,扩张型/围产期心肌病、动脉粥样硬化；BMPR2 血管重塑模型,机制审计：低优先级可审。BMPR2 与 BMP-SMAD 血管重塑相关，心肌病/血管表型可以讲通但本行 child OT 支持很弱。机制故事可讲，但当前证据主要来自计算预测、签名或低分 child OT，需先证明真实 target engagement。 child OT 最佳疾病为 peripartum cardiomyopathy（score=0.047）。,实验可行性高：酶活/结合和细胞 phospho biomarker 都可建立；关键是证明选择性和疾病细胞窗口。,BMPR2/BMP4 刺激下 pSMAD1/5/8 Western/HTRF/reporter，辅以受体 kinase 结合或热稳定性；内皮/平滑肌细胞做功能 readout。,广谱 kinome panel、近缘 kinase/ATP 竞争、原药物靶点 panel、细胞毒性/增殖非特异和荧光/发光干扰反筛。,中高,P3_review_low,review_low,"可做低成本确认，但不应占用首轮优先资源。 审计依据：child OT=peripartum cardiomyopathy(0.047), ConPLEx=0.293/rank81; literature_status=not_audited_in_local_literature_table. 主要风险：主要风险是 ConPLEx 预测需正交实验验证，疾病方向仍需具体化。"
