资源,层次,规模,计数单位,内容,用途,状态,数据位置,数量依据日期,边界
冷靶点,研究成员,6,成员表,两臂各train/validation/test；详细计数见DATASET_COUNTS.csv,重新训练后检验泛化,已生成并检查,data/research/dti_reliability_20260920_v1/A_cold_target_test.parquet;data/research/dti_reliability_20260920_v1/A_cold_target_train.parquet;data/research/dti_reliability_20260920_v1/A_cold_target_validation.parquet;data/research/dti_reliability_20260920_v1/B_cold_target_test.parquet;data/research/dti_reliability_20260920_v1/B_cold_target_train.parquet;data/research/dti_reliability_20260920_v1/B_cold_target_validation.parquet,2026-09-20,重新划分旧数据；旧任务权重不能作为独立测试
双侧冷启动,研究成员,6,成员表,两臂各train/validation/test；详细计数见DATASET_COUNTS.csv,重新训练后检验泛化,已生成并检查,data/research/dti_reliability_20260920_v1/A_double_cold_test.parquet;data/research/dti_reliability_20260920_v1/A_double_cold_train.parquet;data/research/dti_reliability_20260920_v1/A_double_cold_validation.parquet;data/research/dti_reliability_20260920_v1/B_double_cold_test.parquet;data/research/dti_reliability_20260920_v1/B_double_cold_train.parquet;data/research/dti_reliability_20260920_v1/B_double_cold_validation.parquet,2026-09-20,重新划分旧数据；旧任务权重不能作为独立测试
保守时间,研究成员,6,成员表,两臂各train/validation/test；详细计数见DATASET_COUNTS.csv,重新训练后检验泛化,已生成并检查,data/research/dti_reliability_20260920_v1/A_temporal_conservative_test.parquet;data/research/dti_reliability_20260920_v1/A_temporal_conservative_train.parquet;data/research/dti_reliability_20260920_v1/A_temporal_conservative_validation.parquet;data/research/dti_reliability_20260920_v1/B_temporal_conservative_test.parquet;data/research/dti_reliability_20260920_v1/B_temporal_conservative_train.parquet;data/research/dti_reliability_20260920_v1/B_temporal_conservative_validation.parquet,2026-09-20,重新划分旧数据；旧任务权重不能作为独立测试
A_B_COMMON_TRAIN,研究成员,335580,训练配对,阳性187212；明确失活105368；目标2283,控制A/B数量、目标及类别构成,已生成并检查,data/research/dti_reliability_20260920_v1/A_B_COMMON_TRAIN.parquet,2026-09-20,匹配/共同/增量是不同视图，不互相相加重复计数
B_EXTRA_SHARED_TARGETS_TRAIN,研究成员,723955,训练配对,阳性548246；明确失活0；目标1834,控制A/B数量、目标及类别构成,已生成并检查,data/research/dti_reliability_20260920_v1/B_EXTRA_SHARED_TARGETS_TRAIN.parquet,2026-09-20,匹配/共同/增量是不同视图，不互相相加重复计数
A_MATCHED_TRAIN,研究成员,337459,训练配对,阳性188721；明确失活105368；目标2289,控制A/B数量、目标及类别构成,已生成并检查,data/research/dti_reliability_20260920_v1/A_MATCHED_TRAIN.parquet,2026-09-20,匹配/共同/增量是不同视图，不互相相加重复计数
B_MATCHED_TRAIN,研究成员,337459,训练配对,阳性188721；明确失活105368；目标2289,控制A/B数量、目标及类别构成,已生成并检查,data/research/dti_reliability_20260920_v1/B_MATCHED_TRAIN.parquet,2026-09-20,匹配/共同/增量是不同视图，不互相相加重复计数
精确端点回归,辅助监督及划分,998162,配对×端点,精确端点回归,分端点回归辅助,已生成并检查,data/research/dti_reliability_20260920_v1/REGRESSION_EXACT.parquet,2026-09-20,辅助监督必须按当前train成员筛选；无精确值的失活不补造Kd
真实assay辅助,辅助监督及划分,639511,assay内配对行,真实assay辅助,过滤当前train后辅助排序,已生成并检查,data/research/dti_reliability_20260920_v1/ASSAY_AUXILIARY.parquet,2026-09-20,辅助监督必须按当前train成员筛选；无精确值的失活不补造Kd
蛋白同源簇,辅助监督及划分,5086,蛋白登记行,蛋白同源簇,同源簇划分,已生成并检查,data/research/dti_reliability_20260920_v1/TARGET_CLUSTERS.parquet,2026-09-20,辅助监督必须按当前train成员筛选；无精确值的失活不补造Kd
来源组连接,辅助监督及划分,1735976,配对—源组连接,来源组连接,来源去重,已生成并检查,data/research/dti_reliability_20260920_v1/PAIR_DOCUMENT_GROUPS.parquet,2026-09-20,辅助监督必须按当前train成员筛选；无精确值的失活不补造Kd
来源/日期QC,辅助监督及划分,1386225,配对,来源/日期QC,时间与缺源审计,已生成并检查,data/research/dti_reliability_20260920_v1/PAIR_SOURCE_QC.parquet,2026-09-20,辅助监督必须按当前train成员筛选；无精确值的失活不补造Kd
bermol,冻结特征,857332,本研究所需实体,"数组[996696, 768]；float32；有效857332；缺失0",输入表征,已核验,outputs/biomaster_dtiam_ab_20260912/features/BERMOL.npy,2026-09-20,All required rows verified finite and nonzero. 数组分配行数不同于本研究实体数。
esm2_dtiam,冻结特征,4742,本研究所需实体,"数组[5086, 1280]；float32；有效4742；缺失0",输入表征,已核验,outputs/biomaster_dtiam_ab_20260912/features/ESM2.npy,2026-09-20,All required rows verified finite and nonzero. 数组分配行数不同于本研究实体数。
drugclip,冻结特征,857332,本研究所需实体,"数组[996696, 512]；float32；有效842799；缺失14533",输入表征,已核验,outputs/biomaster_endpoint_ablation_20260911/features/DRUG_CLIP.npy,2026-09-20,"Explicit availability mask; zero is an unavailable placeholder, never a valid embedding. 数组分配行数不同于本研究实体数。"
morgan,冻结特征,857332,本研究所需实体,"数组[996696, 2048]；uint8；有效857332；缺失0",输入表征,已核验,outputs/biomaster_endpoint_ablation_20260911/features/MORGAN.npy,2026-09-20,All required rows verified finite and nonzero. 数组分配行数不同于本研究实体数。
esm2_full,冻结特征,4742,本研究所需实体,"数组[5086, 1280]；float32；有效4742；缺失0",输入表征,已核验,outputs/biomaster_endpoint_ablation_20260911/features/TARGET.npy,2026-09-20,All required rows verified finite and nonzero. 数组分配行数不同于本研究实体数。
分子图均值40维,冻结特征,996696,数组分配行,"(996696, 40)",旧Palinova输入,本地存在；非本轮统一主输入,outputs/biomaster_endpoint_ablation_20260911/features/GRAPH.npy,2026-09-20,有效行应结合成员索引与CHEM_DONE读取
CACHE1,外部测量资源,5966,9月10日索引测量/拟合/响应行,响应与剂量拟合；不能全算Kd,外部面板资格审计,原始文件及索引在；独立性待审,data/external/affinity_refresh_20260910/CACHE_all_data_with_structures_vs2.xlsx,2026-09-10,非全部原始工作表行数，非独立配对数
CACHE3,外部测量资源,761,9月10日索引测量/拟合/响应行,SPR；保留作者伪影/失败标记,外部面板资格审计,原始文件及索引在；独立性待审,data/external/affinity_refresh_20260910/CACHE_1-All_data_CACHE3_Round1.xlsx;data/external/affinity_refresh_20260910/CACHE_2-All_data_CACHE3_Round2.xlsx,2026-09-10,非全部原始工作表行数，非独立配对数
OpenBind_20260828,外部测量资源,2733,9月10日索引测量/拟合/响应行,GCI Kd；病毒构建；区分作者QC,外部面板资格审计,原始文件及索引在；独立性待审,data/external/affinity_refresh_20260910/OpenBind_all_affinity_data_release_v1.csv,2026-09-10,非全部原始工作表行数，非独立配对数
RAF_MEK_2026,外部测量资源,1124,9月10日索引测量/拟合/响应行,kinobead响应；不是Kd,外部面板资格审计,原始文件及索引在；独立性待审,data/external/affinity_refresh_20260910/RAF_MEK_MOESM3.xlsx;data/external/affinity_refresh_20260910/RAF_MEK_MOESM4.xlsx;data/external/affinity_refresh_20260910/RAF_MEK_MOESM6.xlsx;data/external/affinity_refresh_20260910/RAF_MEK_MOESM7.xlsx;data/external/affinity_refresh_20260910/RAF_MEK_MOESM5.xlsx,2026-09-10,非全部原始工作表行数，非独立配对数
HiQBind_v3,外部测量资源,31572,9月10日索引行,只有元数据；结构附带既有标签，不是新测量,结构或体系敏感性研究,本地存在；独立性待审,outputs/recent_affinity_sources_20260910/hiqbind_sm_metadata.csv,2026-09-10,只有元数据；结构附带既有标签，不是新测量
Supercharge_Data6,外部测量资源,4013,9月10日索引行,细胞/体系表观Kd，不能与纯蛋白Kd混用,结构或体系敏感性研究,本地存在；独立性待审,outputs/recent_affinity_sources_20260910/SUPERCHARGE_Supplementary_Data6.xlsx,2026-09-10,细胞/体系表观Kd，不能与纯蛋白Kd混用
PLINDER 实验结构库存,辅助模态,11126,历史结构系统,9903训练＋1223内部验证；接触/距离映射,结构教师准备,目录在；数量沿用9月14日逐文件审计,outputs/biomaster_pocket_precision_20260906/structural_data,2026-09-14,大编码缓存需重建；新A/B重叠未认证；不是11126个亲和真值
残基token缓存,辅助模态,813,历史靶点索引,483934×1280残基向量,局部交互输入,本地存在；数量依据9月14日,outputs/biomaster_bindingdb_target_token_feature_package_v1/ESM2_650M_RESIDUE_FLOAT16_COMBINED_V1.npy,2026-09-14,映射新序列索引后才能使用；不是4742目标全覆盖
实验参考口袋图,辅助模态,326,历史靶点模板,其中307个参考重对接PASS,局部教师输入,索引存在；数量依据9月14日,outputs/biomaster_odti_experimental_template_graph_features_v1/POCKET_GRAPH_INDEX_V1.csv.gz,2026-09-14,参考配体模板并非当前候选已结合姿态
LINCS L1000,辅助模态,720216,扰动签名,12328维；化合物/细胞/条件相关,后续细胞效应模态,本地存在；数量依据9月14日,data/external/lincs_cmap/level5_beta_trt_cp_n720216x12328.gctx,2026-09-14,不是720216药物，也不是药物—蛋白亲和标签
TxGNN 全疾病评分,图谱辅助,10384640,预测药物—疾病对,608药×17080疾病；全方向,适应证假设,已有推理输出,outputs/biomaster_disease_evidence_720x888_20260909/TXGNN_INDICATION_LOGITS.npy,2026-09-09,模型预测，不是直接结合真值
OpenTargets 全方向,图谱辅助,907849,证据行,目标—疾病证据,疾病/关系解释,本地存在,outputs/biomaster_disease_evidence_720x888_20260909/OPENTARGETS_ALL_TARGET_DISEASE_EVIDENCE.parquet,2026-09-09,不能直接替代Kd/Ki或实验失活
EC-KG 项目相关关系,图谱辅助,855294,证据行,图谱关系与有效增量审计,疾病/关系解释,本地存在,outputs/biomaster_disease_evidence_720x888_20260909/ECKG_RELEVANT_RELATION_AUDIT.parquet,2026-09-09,不能直接替代Kd/Ki或实验失活
七模型冻结分数快照,评价与实验,276480,核心目录配对,720×384目录；该快照七模型完整共同矩形为50×719,排名分歧分析,已冻结快照,outputs/model_interpretation_20260920/latest_results/SCORE_SNAPSHOT.csv.gz,2026-09-20,不是七模型全部覆盖；无记录不当阴性
SPR384冻结实验清单,评价与实验,384,候选配对,参考对照另计,湿实验接收与预选池评价,实验设计已冻结；结果访问状态未知,outputs/spr384_final_experiment_table_20260910/SPR384_FINAL_EXPERIMENT_TABLE.csv,2026-09-20,清单不是384条实测标签
