排序,小分子药物名称,新靶点名称,当前实验建议,需先确认的事项,评价理由,pair_id,A药内排名_384,B药内排名_384,共识Top20组合,至少一个AB药内Top20,安排复核建议_未更改实验表
12,macimorelin,ACE — Angiotensin-converting enzyme,仍可探索,先核对ACE结构域和廉价酶活结果；仅在有母药直接作用支持时考虑SPR，并单独评价疾病干预方向。,macimorelin–ACE诊断用途和不同肽药列表不证明CAD机制，纯ACE酶活探索仍可成立。,UJVDJAPJQWZRFR-DHIUTWEWSA-N__CHEMBL1808,255,125,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
13,oxycodone,CA7 — Carbonic anhydrase 7,仍可探索,先CA7酶学并与morphine比较，避免同骨架多对直接占用梯度容量。,oxycodone–CA7缺独立线索不代表不可结合，可与morphine同条件比较减少重复投入。,BRUQQQPBMZOVGD-XFKAJCMBSA-N__CHEMBL2326,3,20,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
14,methylnaltrexone,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,先用FKBP12竞争结合验证，检测实际盐形与非特异吸附，重复效应后再考虑疾病方向。,methylnaltrexone–FKBP1A化学支持薄和原受体机制不同，仅属证据缺口，可探索竞争结合。,JVLBPIPGETUEET-WIXLDOGYSA-O__CHEMBL1902,23,23,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
15,thalidomide,MIF — Macrophage migration inhibitory factor,仍可探索,测纯母药，近邻若为连接分子不转移其亲和值。,沙利度胺嵌合物证据不能证明母药MIF作用，但也不是母药阴性。,UEJJHQNACJXSKW-UHFFFAOYSA-N__CHEMBL2085,294,186,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
16,armodafinil,NR3C2 — Mineralocorticoid receptor,仍可探索,R实体身份一致，配体竞争与报告基因区分方向。,阿莫达非尼–MR可作受体探索，DAT原机制不是反对证据；Duchenne获益方向待定。,YFGHCGITMMYXAQ-LJQANCHMSA-N__CHEMBL1994,7,24,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
17,diltiazem,REN — Renin,仍可探索,纯化REN实验与系统反馈明确分开。,地尔硫卓人体肾素升高反映反馈，不是纯REN抑制的支持或硬反证。,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL286,242,81,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
18,upadacitinib,PRKCB — Protein kinase C beta type,仍可探索,PRKCB与JAK功能并行确定独立作用。,乌帕替尼–PRKCB可探索跨激酶机制，JAK选择性和相等近邻都不代表PRKCB阴性。,WYQFJHHDOKWSHR-MNOVXSKESA-N__CHEMBL3045,139,200,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
19,carglumic acid,MMP12 — Macrophage metalloelastase,仍可探索,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,carglumic acid–MMP12不能借用疏水取代伪二肽效力，但母药酶学与结合探索仍可开展。,LCQLHJZYVOQKHU-VKHMYHEASA-N__CHEMBL4393,3,87,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
20,diazoxide,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,若保留，先确认纯CSF1R构建及激酶活性筛查，再考虑SPR；不得把纠正低血糖解释为肿瘤抑制。,diazoxide–CSF1R的GFP报告标记非药物靶点测量，去掉误支持后可生化探索，低血糖控制不作抗肿瘤证据。,GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,69,67,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
21,lenalidomide,AXL — Tyrosine-protein kinase receptor UFO,仍可探索,纯母药AXL酶活；不将降解或嵌合物效力转移。,来那度胺CRBN招募不是AXL二元结合，纠正证据后仍可测母药新机制。,GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL4895,118,275,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
22,ixabepilone,CSF1R — Macrophage colony-stimulating factor 1 receptor,仍可探索,单药CSF1R功能及实际可溶浓度确认。,伊沙匹隆–CSF1R专利合用列表无直连；细胞毒性不能证明也不能否定新激酶结合。,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,98,48,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
23,esketamine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,S体纯酶GSK3A/B测试与NMDA机制分离。,艾司氯胺酮GSK3A下游磷酸化不是直接占位；MDD重叠只限制疾病新颖性。,YQEZLKZALYSWHR-ZDUSSCGKSA-N__CHEMBL2850,88,121,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
24,ibuprofen,CA4 — Carbonic anhydrase 4,仍可探索,用含锌CA4胞外域及参照，酶活与结合一致再升级；先核是否已有未收录文献。,ibuprofen–CA4偏头痛仍接近原镇痛领域，影响跨领域新颖性而非是否值得研究新靶点。,HEFNNWSXXWATRW-UHFFFAOYSA-N__CHEMBL3729,214,3,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
25,lisinopril,REN — Renin,仍可探索,用成熟活性肾素直接测酶活，先排ACE反馈解释，阳性再SPR复测。,lisinopril–REN的肾素反馈增加既不是直接作用也不是纯酶阴性，可检验直接交叉机制。,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL286,109,34,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
26,apixaban,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,apixaban–FLT3缺直接记录且近邻不占优，仅降低把握；不是FXa药就不能结合FLT3。,QNZCBYKSOIHPEH-UHFFFAOYSA-N__CHEMBL1974,379,215,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
27,nimodipine,CA7 — Carbonic anhydrase 7,仍可探索,确认含锌CA7及实际可溶浓度，结合和酶活一致再升级。,nimodipine–CA7无直接实测仅是证据缺口，可在实际可溶浓度内做酶活结合探索。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N__CHEMBL2326,5,3,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
28,etravirine,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,匹配FLT3活性域及参照，直接结合/酶活后再核疾病亚型。,etravirine–FLT3临床相互作用名单非结合资料，仍可直接检验这一未知关系。,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL1974,67,78,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
29,darunavir,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,先确认FKBP12参考配体响应及darunavir可溶浓度；若重复SPR响应成立，再做竞争结合并细化癌症机制。,darunavir–FKBP1A缺直接记录及癌症节点宽，只影响把握，FKBP12竞争结合可探索。,CJBJHOAVZSMMDJ-HEXNFIEUSA-N__CHEMBL1902,114,52,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
30,bupivacaine,CTSC — Dipeptidyl peptidase 1,仍可探索,在成熟活性CTSC上先酶学检验，并区分局麻引起的细胞损伤与靶点效应。,bupivacaine–CTSC的大鼠B/L变化不属于CTSC直接抑制，去掉错支持后酶活探索仍有资格。,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL2252,84,29,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
31,belzutifan,PGR — Progesterone receptor,仍可探索,确认PGR域与配体竞争对照，SPR阳性后用功能报告区分方向再讨论骨病价值。,belzutifan–PGR可探索新核受体作用，骨质疏松意义在明确激动/拮抗后再判断。,LOMMPXLFBTZENJ-ZACQAIPSSA-N__CHEMBL208,5,29,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
32,oxaprozin,FAAH — Fatty-acid amide hydrolase 1,仍可探索,先实测FAAH作用，原始数据待追溯。,奥沙普秦–FAAH供应商推测不算实证，尚无否定线索；原关节用途只削弱跨病种新颖性。,OFPXSFXSNFPTHF-UHFFFAOYSA-N__CHEMBL2243,151,31,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
33,cobimetinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,PARP2功能与MEK效应分离。,考比替尼–PARP2暂无直连，癌症内拓展价值有限但可探索新酶机制。,BSMCAPRUBJMWDF-KRWDZBQOSA-N__CHEMBL5366,257,263,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
34,lumateperone,COMT — Catechol O-methyltransferase,仍可探索,明确COMT构建及SAM条件，独立功能验证。,卢美哌隆–COMT通路图不是结合证据，但不排除新代谢酶机制。,HOIIHACBCFLJET-SFTDATJTSA-N__CHEMBL2023,329,289,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
35,tafamidis,RARB — Retinoic acid receptor beta,仍可探索,竞争及报告基因确定受体方向。,氯苯唑酸–RARB有跨领域探索空间，TTR原机制不构成否定。,TXEIIPDJKFWEEC-UHFFFAOYSA-N__CHEMBL2008,147,5,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
36,pregabalin,MME — Neprilysin,仍可探索,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。,pregabalin–MME缺直接证据且分子小，属于需适当信号控制的探索，不构成不能测。,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1944,55,38,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
37,cabotegravir,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",仍可探索,核对ALDH2辅因子和酶活，结合与功能一致才考虑升级。,cabotegravir–ALDH2目前只有证据缺口；成熟辅因子酶体系可低成本探索。,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL1935,115,100,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
38,pacritinib,CA7 — Carbonic anhydrase 7,仍可探索,仅在CA7体系成熟且可低成本追加时先酶学测试，不直接安排全梯度。,pacritinib–CA7多激酶药理没有提供CA证据，但靶点家族不同并非不可能结合。,HWXVIOGONBBTBY-ONEGZZNKSA-N__CHEMBL2326,22,68,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
39,bictegravir,MET — Hepatocyte growth factor receptor,仍可探索,明确人MET激酶域及参考对照，先小规模活性筛查后用SPR和细胞MET信号复核。,bictegravir–MET应剔除metformin缩写误共现，仍可探索人MET激酶新作用。,SOLUWJRYJLAZCX-LYOVBCGYSA-N__CHEMBL3717,52,247,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
40,rimegepant,REN — Renin,仍可探索,先核对肾素催化活性、样品溶解度和竞争效应；只有重复直接效应才追加疾病验证。,rimegepant–REN直接依据不足，可在活性肾素体系探索，不把CGRP疾病链当实测。,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL286,2,175,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
41,calcipotriene,NR3C2 — Mineralocorticoid receptor,仍可探索,MR竞争与溶解性确认，可与同药其他核受体并行。,卡泊三醇–MR缺直连且近邻偏阴性，仍没有母药MR实测否定。,LWQQLNNNIPYSNX-UROSTWAQSA-N__CHEMBL1994,1,104,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
42,olanzapine,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,仍可探索,先核对DYRK1A直接筛选数据及自闭症相关方向；有匹配构建的活性支持后再提升顺位。,olanzapine–DYRK1A专利联用不是母药抑制证明，仍可探索；自闭症功能方向另证。,KVWDHTXUZHCGIO-UHFFFAOYSA-N__CHEMBL2292,259,172,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
43,avibactam,MMP8 — Neutrophil collagenase,仍可探索,单成分成熟MMP8与金属/非特异对照。,阿维巴坦–MMP8细菌酶原机制不同不应作硬反对。,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4588,20,45,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
44,tapentadol,ESR1 — Estrogen receptor,仍可探索,ESR1竞争/报告后再判疾病方向。,他喷他多–ESR1缺直连，阴性邻居稍近及情绪共现均不能决定结合阴性。,KWTWDQCKEHXFFR-SMDDNHRTSA-N__CHEMBL206,316,98,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
45,lubiprostone,AR — Androgen receptor,仍可探索,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。,lubiprostone–AR的母药系统暴露影响再利用解释，不妨碍纯母药结合探索；毛囊用途另证。,WGFOBBZOWHGYQH-MXHNKVEKSA-N__CHEMBL1871,38,236,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
46,bupivacaine,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,纯蛋白竞争和非特异吸附对照，避免膜效应归因。,布比卡因–FKBP12仅是文献缺口和原机制不同，可保留低成本探索。,LEBVLXFERQHONN-UHFFFAOYSA-N__CHEMBL1902,121,238,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
47,sotagliflozin,REN — Renin,仍可探索,以纯REN实验独立检验，生理肾素变化不作为直连。,索格列净心肾表型不证明REN结合，也不构成直接反证。,QKDRXGFQVGOQKS-CRSSMBPESA-N__CHEMBL286,266,208,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
48,glasdegib,KIT — Mast/stem cell growth factor receptor Kit,仍可探索,核KIT活性域及突变状态，阳性再做酶活；不直接把AML原用途移到CML。,glasdegib–KIT暂无精确作用资料，可做生化探索；CML应用需额外KIT依赖依据。,SFNSLLSYNZWZQG-VQIMIIECSA-N__CHEMBL1936,215,20,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
49,selinexor,BRAF — Serine/threonine-protein kinase B-raf,仍可探索,先取得BRAF生化或直接结合证据；若只有细胞通路变化，保持后置并区分BRAF野生型与突变构建。,selinexor–BRAF的XPO1下游变化不能证BRAF结合，也未构成直接反证，可探索。,DEVSOMFAQLZNKR-RJRFIUFISA-N__CHEMBL5145,157,24,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
50,avibactam,MMP7 — Matrilysin,仍可探索,单成分成熟MMP7功能及金属条件。,阿维巴坦复方肺炎疗效不是MMP7证据，纯药宿主酶作用仍可探索。,NDCUAPJVLWFHHB-UHNVWZDZSA-N__CHEMBL4073,107,249,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
51,fluocinonide,PRKCB — Protein kinase C beta type,仍可探索,纯PRKCB作用与GR效应分离，后续才评暴露。,氟轻松–PRKCB缺直连但原激素机制不构成硬反对，外用至肠道的转化问题另列。,WJOHZNCJWYWUJD-IUGZLZTKSA-N__CHEMBL3045,80,164,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
52,desonide,NR3C2 — Mineralocorticoid receptor,仍可探索,确认MR-LBD与GR选择性，结合阳性后分别测激动拮抗；再论肾病方向。,desonide–NR3C2不能用GR数据或局部用药推断MR肾病效应，MR交叉结合与方向仍值得测。,WBGKWQHBNHJJPZ-LECWWXJVSA-N__CHEMBL1994,1,5,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
53,alpelisib,DPP4 — Dipeptidyl peptidase 4,仍可探索,使用活性DPP4胞外域及参照，同时测酶活；若只见细胞通路变化不升级直接结合结论。,alpelisib–DPP4不能用其他激酶药对接或PI3K通路代证，仍可在成熟酶体系探索。,STUWGJZDJHPWGZ-LBPRGKRZSA-N__CHEMBL284,18,121,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
54,atrasentan,EGLN3 — Prolyl hydroxylase EGLN3,仍可探索,查名单对应原始数据，未证成直接作用前不单独建体系。,atrasentan–EGLN3名单未提供端点，仅说明缺证据；已有有效体系时仍可探索。,MOTJMGVDPWRKOC-QPVYNBJUSA-N__CHEMBL5705,53,107,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
55,methocarbamol,CA4 — Carbonic anhydrase 4,仍可探索,同条件比较CA4与CA1/2，明确亚型。,美索巴莫CA1/2弱活性不能迁移CA4；近邻偏阴性不是本药CA4阴性。,GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,14,5,A和B均在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
56,avanafil,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,仍可探索,用FKBP12竞争检验而非沿用血浆结合率。,阿伐那非血浆蛋白结合不是FKBP12数据；暂无本配对实测反对。,WEAJZXNPAWBCOA-INIZCTEOSA-N__CHEMBL1902,233,250,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
57,indacaterol,JAK3 — Tyrosine-protein kinase JAK3,仍可探索,JAK3生化测定及JAK1/2反筛，细胞效应单独解释。,茚达特罗其他炎症通路资料不是JAK3作用，但不排除新激酶机制。,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2148,347,363,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
58,etravirine,MAPK9 — Mitogen-activated protein kinase 9,仍可探索,JNK亚型并行，功能阳性后收窄癌种。,依曲韦林–JNK2可共享激酶体系探索，泛癌标签宽不是不能结合的理由。,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL4179,87,212,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
59,diltiazem,MMP12 — Macrophage metalloelastase,仍可探索,核对活性MMP12构建及钙/金属条件，用配套酶学先检验；避免把改变酶环境解释为特异结合。,diltiazem–MMP12证据薄及近邻弱不是硬反对，常规金属条件控制后可酶学侦察。,HSUGRBWQSSZJOP-RTWAWAEBSA-N__CHEMBL4393,27,39,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
60,ozanimod,"PDE4D — 3',5'-cyclic-AMP phosphodiesterase 4D",仍可探索,纯母药身份明确，不转移代谢物效应。,奥扎莫德–PDE4D可探索母药新免疫机制，S1P机制不同不是反证。,XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL288,237,13,仅B在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
61,furosemide,REN — Renin,仍可探索,纯化REN测定独立于肾素释放研究。,呋塞米导致肾素分泌升高是生理反馈，不能视为纯REN结合阴性。,ZZUFCTLCJUWOSV-UHFFFAOYSA-N__CHEMBL286,21,206,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
62,guanfacine,GSK3A — Glycogen synthase kinase-3 alpha,仍可探索,纯GSK3A与亚型B功能比较。,胍法辛–GSK3A缺直接资料、近邻相近，可作为激酶新机制探索。,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL2850,204,314,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
63,lasmiditan,FLT3 — Receptor-type tyrosine-protein kinase FLT3,仍可探索,若已有FLT3体系可留一次侦察；否则先补直接药理线索再单独投入蛋白。,lasmiditan–FLT3主要是没有直接线索及化学支持有限，不能因此判定无结合可能。,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL1974,65,125,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
64,pregabalin,ACE — Angiotensin-converting enzyme,仍可探索,先查直接酶活；不因联用不良反应推定ACE作用。,pregabalin–ACE联用信息和较近阴性邻居均非母药ACE阴性；可做酶学探索。,AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL1808,100,187,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
65,etravirine,SRC — Proto-oncogene tyrosine-protein kinase Src,仍可探索,按SRC UniProt/激酶名称重新核数据，匹配激酶域有直接响应再升级。,etravirine–SRC检索中SRC共激活因子与激酶混淆应去除，未显示真实SRC激酶反证。,PYGWGZALEOIKDF-UHFFFAOYSA-N__CHEMBL267,145,199,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
66,zavegepant,PTK2 — Focal adhesion kinase 1,仍可探索,已有PTK2激酶体系才少量侦察，先控制非特异响应。,zavegepant–PTK2缺证据且分子较大，并非结合不可能；用常规非特异控制可探索。,JJVAPHYEOZSKJZ-JGCGQSQUSA-N__CHEMBL2695,125,194,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
67,dasabuvir,PGR — Progesterone receptor,仍可探索,先定位具体PGR相关疾病及需要激动还是拮抗，核对PGR配体结合域和直接结合资料，再决定是否占用首批实验。,dasabuvir–PGR试验限制名单不能证明结合，可做PGR探索，泛癌症用途留待功能方向后讨论。,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL208,6,35,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
68,imiquimod,FDPS — Farnesyl pyrophosphate synthase,仍可探索,先直接测FDPS酶活与结合，阳性后再区分原免疫机制。,imiquimod–FDPS缺直接证据不排除新机制，直接酶测有助区别TLR7间接效应。,DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,80,246,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
69,varenicline,"PDE9A — High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",仍可探索,若PDE9A体系已成熟，可先廉价测cGMP水解抑制，出现可重复效应才提高SPR优先级。,varenicline–PDE9A低近邻与缺文献仅表示未知，可用cGMP水解测试直接探索。,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL3535,49,148,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
70,lacosamide,MAOB — Amine oxidase [flavin-containing] B,仍可探索,MAOB与MAOA功能并行，探索浓度清楚。,拉考沙胺–MAOB缺直接证据，钠通道机制和略近阴性邻居不构成硬反对。,VPPJLAIAVCUEMN-GFCCVEGCSA-N__CHEMBL2039,26,41,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
71,indomethacin,CTSC — Dipeptidyl peptidase 1,仍可探索,成熟人CTSC功能、pH及浓度记录。,吲哚美辛其他组织蛋白酶高浓度效应不能转为CTSC数据，也不是CTSC直接反证。,CGIGDMFJXJATDK-UHFFFAOYSA-N__CHEMBL2252,19,298,仅A在Top20,True,优先核对靶点实验就绪；模型支持不替代质控
72,tofacitinib,PARP2 — Poly [ADP-ribose] polymerase 2,仍可探索,PARP2催化实验独立于JAK细胞效应。,托法替布商品目录并列JAK/PARP药不是直连，纯PARP2探索仍成立。,UJLAWZDWDVHWOW-YPMHNXCESA-N__CHEMBL5366,138,122,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
73,guanfacine,THRB — Thyroid hormone receptor beta,仍可探索,THRB竞争与激动/拮抗报告。,胍法辛–THRB受体机制不同不应硬性排除，但双相方向要靠功能确认。,INJOMKTZOLKMBF-UHFFFAOYSA-N__CHEMBL1947,311,216,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
74,cabotegravir,PPARG — Peroxisome proliferator-activated receptor gamma,仍可探索,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。,cabotegravir–PPARG可探新受体作用；眼病意义须由激动或拮抗功能补齐，缺方向不等于结合不能测。,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,252,233,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
75,terazosin,NTRK3 — NT-3 growth factor receptor,仍可探索,优先核疾病具体机制；已有TrkC体系才少量侦察。,terazosin–NTRK3近邻弱和无直接记录仅表明不确定，不能证明TrkC不结合。,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL5608,248,35,A和B均未进Top20,False,保留探索；按靶点就绪及代表性分批
