scope,candidate_id,pair_id,drug_name,gene_symbol,original_indications,proposed_indication,route,review_status,llm_verdict,llm_summary,llm_support,llm_concern,llm_next_step,llm_source_urls,llm_search_log,llm_source_notes,action_class,action_label,reason_tags,reason_detail,can_test,critical_condition
BASELINE_384,C384-011,MQOBSOSZFYZQOK-UHFFFAOYSA-N__CHEMBL1978,choline fenofibrate,CYP19A1,高胆固醇/混合血脂异常和重度高甘油三酯血症,osteoporosis,ORIGINAL_BASELINE,REVIEWED,DEFER,choline fenofibrate–CYP19A1不宜因骨质疏松图谱关联优先；检索发现方向相反的动物线索。,本地排名9；fenofibrate原始动物研究确实观察芳香化酶活动变化。,该研究为PPARα依赖的表达下调并伴骨密度下降，不是fenofibric acid直接结合人CYP19A1；母药/酸/盐身份也须区分。,先核实际药物结构与CYP19A1构建，若研究直接抑制则明确属于机制探索，不以治疗骨质疏松为理由放行。,"[""https://pubmed.ncbi.nlm.nih.gov/12576508/""]","[{""query"": ""fenofibric acid CYP19A1 aromatase inhibition"", ""source"": ""web search"", ""outcome"": ""发现fenofibrate间接表达/动物研究，无模型酸实体直接结合。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]",原始论文摘要：fenofibrate在小鼠经PPARα降低芳香化酶表达，伴骨密度下降；不能外推直接结合或人临床结果。,EVIDENCE_DEPRIORITIZE,有证据支持降低投入,"[""DISEASE_DIRECTION"", ""INDIRECT_OR_WRONG_ENTITY_EVIDENCE"", ""ENTITY_MISMATCH""]",choline fenofibrate–CYP19A1有PPARα依赖表达下降并伴骨密度下降的动物线索，降低骨质疏松投资理由；不证明酸实体直接不结合。,并非绝对不能结合；已有证据降低首批投入理由，需提出独立假设或解决反向线索。,先核实际药物结构与CYP19A1构建，若研究直接抑制则明确属于机制探索，不以治疗骨质疏松为理由放行。
BASELINE_384,C384-012,WCWSTNLSLKSJPK-LKFCYVNXSA-N__CHEMBL235,cabotegravir,PPARG,HIV暴露前预防及特定已抑制患者联合rilpivirine短期治疗/注射前导或桥接,diabetic retinopathy,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,cabotegravir–PPARG保留跨抗病毒到代谢眼病侦察，需首先证明受体作用方向。,本地排名9、阳性近邻0.337，糖尿病视网膜病有遗传关联。,精确检索未定位PPARG结合或转录实验；原HIV整合酶用途不能给出PPARG激动结论。,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。,[],"[{""query"": ""cabotegravir PPARG binding activation"", ""source"": ""web search"", ""outcome"": ""返回一般药物资料，未定位精确配对原始实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",此次搜索未获得可用于支持精确配对的primary来源；评价依据本地原机制和计算记录。,EXPLORABLE,仍可探索,"[""DISEASE_DIRECTION""]",cabotegravir–PPARG可探新受体作用；眼病意义须由激动或拮抗功能补齐，缺方向不等于结合不能测。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,确认纯cabotegravir实体及PPARG配体域；结合阳性后做共调节因子或报告基因，不直接推进眼病应用。
BASELINE_384,C384-013,VGYFMXBACGZSIL-MCBHFWOFSA-N__CHEMBL4393,pitavastatin,MMP12,原发高脂血症及杂合家族高胆固醇血症降低LDL,atherosclerosis,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,pitavastatin–MMP12可作为现有MMP12体系的候补，优先级低于直接作用线索明确者。,本地动脉粥样硬化遗传关联及排名10；原药身份和HMGCR机制明确。,本轮未找到MMP12直接实验；检索中的Mcl-1 SPR属于另一靶点，不能挪用。阳阴近邻差距小。,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。,"[""https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a52401eb-a822-475b-a40d-7b8acde2ae1a""]","[{""query"": ""pitavastatin MMP12 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回HMGCR原机制及其他靶点研究，未见MMP12直接测量。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",官方标签片段仅核对原HMGCR机制。,EXPLORABLE,仍可探索,"[""INDIRECT_OR_WRONG_ENTITY_EVIDENCE""]",pitavastatin–MMP12不能挪用Mcl-1的SPR，移除误支持后仍是可测未知配对。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,验证MMP12催化域结合和酶活，区别HMGCR介导的间接表达变化。
BASELINE_384,C384-014,XEDHVZKDSYZQBF-UHFFFAOYSA-N__CHEMBL4898,lasmiditan,NTRK2,成人伴或不伴先兆偏头痛急性治疗；不预防,obesity disorder,ORIGINAL_BASELINE,REVIEWED,DEFER,lasmiditan–NTRK2建议后置，不能把神经药身份视为TrkB作用依据。,本地排名10，肥胖图谱关联有遗传记录。,阳性近邻0.310且没有精确配对测量；本轮检索仅回到5-HT1F偏头痛机制。,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。,[],"[{""query"": ""lasmiditan NTRK2 TrkB inhibition"", ""source"": ""web search"", ""outcome"": ""仅获得原偏头痛机制及综述，未定位本配对primary。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",仅引用本轮获得的检索摘要/页面片段；本地排名和近邻为计算线索，未校准命中率。,EXPLORABLE,仍可探索,"[""ONLY_EVIDENCE_GAP""]",lasmiditan–NTRK2没有直接文献不是反证，可在现有TrkB体系探索。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,已有TrkB体系时可少量侦察，否则先取得独立作用线索；阳性必须再区分受体激活与抑制。
BASELINE_384,C384-015,KBOPZPXVLCULAV-UHFFFAOYSA-N__CHEMBL1929,mesalamine,XDH,模型实体 mesalamine：口服缓释/肠溶制剂用于成人轻中度 UC 诱导及维持缓解，所核片剂儿童≥24kg；栓剂用于成人轻中度活动性溃疡性直肠炎,gout,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,mesalamine–XDH可保留，但应先解决5-ASA与olsalazine的证据混淆。,本地痛风关联较强、排名12；XDH提供明确的后续酶活验证问题。,检索抑制XO线索主要指olsalazine而非模型mesalamine；阳性近邻0.317低于阴性0.347，小分子量也增加弱响应解释难度。,按精确结构查5-ASA原始XO测量，明确XDH/XO状态和物种；先酶活再用匹配人蛋白确认结合。,"[""https://pubchem.ncbi.nlm.nih.gov/compound/Olsalazine""]","[{""query"": ""mesalamine xanthine oxidase inhibition"", ""source"": ""web search"", ""outcome"": ""出现olsalazine及TPMT相关资料，未确认mesalamine精确XO端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",数据库片段的XO抑制归属于olsalazine，专门用于提示实体混淆；未将其作为mesalamine阳性。,FIRST_RESOLVE,先解决具体问题,"[""ENTITY_MISMATCH"", ""INDIRECT_OR_WRONG_ENTITY_EVIDENCE""]",mesalamine–XDH先区分5-ASA与olsalazine并核XO/XDH状态；当前阳性线索药物实体不同。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,按精确结构查5-ASA原始XO测量，明确XDH/XO状态和物种；先酶活再用匹配人蛋白确认结合。
BASELINE_384,C384-016,ZBMZVLHSJCTVON-UHFFFAOYSA-N__CHEMBL5141,sotalol,CYP26A1,已证实危及生命室性心律失常；高度症状AFIB/AFL复发延迟/窦律维持；未证实增生存、不用于低症状或易逆转情形,open-angle glaucoma,ORIGINAL_BASELINE,REVIEWED,DEFER,sotalol–CYP26A1建议后置，当前证据不足以承担新建P450体系成本。,本地排名13和青光眼遗传关联；找到CYP26A1原始选择性筛查可用于核对方法。,没有定位sotalol配对实验；现有CYP26A1参考仅功能依据，含血红素构建仍需验证。,先查42化合物筛查是否有本药及有效浓度；若无额外支持，只在CYP26A1对照已测通时追加。,"[""https://pubmed.ncbi.nlm.nih.gov/21521770/""]","[{""query"": ""sotalol CYP26A1 inhibition"", ""source"": ""web search"", ""outcome"": ""得到靶点选择性筛查论文，无本药直接命中。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]",原始论文摘要支持CYP26A1筛查方法与其他配体，尚未确认sotalol在名单内。,FIRST_RESOLVE,先解决具体问题,"[""ASSAY_UNRESOLVED""]",sotalol–CYP26A1的实际血红素构建及参照待核，优先解决可解释体系而不是因无文献删除。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,先查42化合物筛查是否有本药及有效浓度；若无额外支持，只在CYP26A1对照已测通时追加。
BASELINE_384,C384-017,XPIJWUTXQAGSLK-UHFFFAOYSA-N__CHEMBL3553,ozenoxacin,TYK2,XEPI 1% 外用乳膏：≥2月龄金黄色葡萄球菌或化脓链球菌所致脓疱疮,arthritic joint disease,ORIGINAL_BASELINE,REVIEWED,DEFER,ozenoxacin–TYK2建议后置，外用抗菌用途到系统关节病之间仍缺多层验证。,本地关节病遗传关联，阳性近邻0.333。,检索未找到精确配对；TYK2催化域与假激酶域不能互换，现有实验构建未知。,先核TYK2预测位点与蛋白域，已有匹配体系才侦察；直接作用阳性后另查给药暴露。,[],"[{""query"": ""ozenoxacin TYK2 inhibition binding"", ""source"": ""web search"", ""outcome"": ""返回其他TYK2药物/专利背景，未定位ozenoxacin直接实验。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",仅引用本轮获得的检索摘要/页面片段；本地排名和近邻为计算线索，未校准命中率。,FIRST_RESOLVE,先解决具体问题,"[""ASSAY_UNRESOLVED""]",ozenoxacin–TYK2需对齐催化域与假激酶域；外用用途不排除体外结合。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,先核TYK2预测位点与蛋白域，已有匹配体系才侦察；直接作用阳性后另查给药暴露。
BASELINE_384,C384-018,VCKUSRYTPJJLNI-UHFFFAOYSA-N__CHEMBL4005,terazosin,PIK3CA,症状性BPH；高血压,columnar cell hyperplasia of the breast,ORIGINAL_BASELINE,REVIEWED,CONDITIONAL,terazosin–PIK3CA可保留机制探索，但乳腺柱状细胞增生不是成熟治疗立项。,本地阳性近邻0.392、排名15及体细胞关联。,直接检索混入名称相近的tersolisib，不能作为terazosin证据；未定位精确作用。,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。,[],"[{""query"": ""terazosin PIK3CA PI3K inhibition"", ""source"": ""web search"", ""outcome"": ""主要返回tersolisib等其他PI3K药，未确认terazosin配对。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",明确排除检索返回的tersolisib资料，未挪用同名近似药证据。,EXPLORABLE,仍可探索,"[""INDIRECT_OR_WRONG_ENTITY_EVIDENCE""]",terazosin–PIK3CA的tersolisib同名近似命中应丢弃，但尚未发现母药反证，可探索。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,确认terazosin精确结构及PI3Kα催化/调节构建；阳性后补脂质激酶活性，另界定疾病意义。
BASELINE_384,C384-019,NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,AR,Exviera 原欧盟成人慢性丙肝治疗，须与其他药物联合，具体 HCV 基因型及肝病状态按原产品信息,cancer,ORIGINAL_BASELINE,REVIEWED,DEFER,dasabuvir–AR建议后置，泛癌症假设不足以支持额外受体投入。,本地排名16，病毒到肿瘤具跨领域新机制潜力。,本轮仅获得NS5B原始研究；未找到AR直接实验，阳性近邻0.301较弱，癌症类别缺具体适用背景。,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。,"[""https://journals.asm.org/doi/10.1128/aac.04619-14""]","[{""query"": ""dasabuvir androgen receptor binding"", ""source"": ""web search"", ""outcome"": ""返回HCV聚合酶原始研究及AR通用资料，无精确配对。"", ""access_scope"": ""SEARCH_RESULT_ABSTRACT""}]",原始论文摘要仅支持HCV NS5B作用与选择性，不提供AR测量。,EXPLORABLE,仍可探索,"[""DISEASE_DIRECTION""]",dasabuvir–AR泛癌症假设不成熟，但纯受体新机制测试仍有探索资格。,可以作为探索性配对测试；常规样品、构建及对照合格后小规模起步。,若AR体系已有则候补；先验证结合，再确定AR/ER状态及功能方向，不能挪用NS5B活性。
BASELINE_384,C384-020,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,CYP19A1,避孕（所获植入剂标签最长5年）,osteoporosis,ORIGINAL_BASELINE,REVIEWED,DEFER,etonogestrel–CYP19A1可研究类固醇交叉作用，但不应以骨质疏松获益优先。,本地骨质疏松遗传关联，模型排名16。,检索未定位本药芳香化酶直接抑制；其他孕激素代谢、PR亲和不能外推，CYP19A1抑制与目标获益方向须单独论证。,核对含血红素构建并区分底物代谢与抑制；先取得直接酶证据，再决定疾病方向。,"[""https://reactome.org/content/detail/R-HSA-9707353""]","[{""query"": ""etonogestrel CYP19A1 aromatase inhibition"", ""source"": ""web search"", ""outcome"": ""获得孕激素/芳香化酶背景，未定位精确本药端点。"", ""access_scope"": ""SEARCH_RESULT_EXCERPT""}]",Reactome记录支持CYP19A1在雌激素合成中的作用，仅用于方向问题，不是本药证据。,FIRST_RESOLVE,先解决具体问题,"[""DISEASE_DIRECTION"", ""ASSAY_UNRESOLVED""]",etonogestrel–CYP19A1先区分底物代谢与抑制，并明确骨质疏松是否需要该方向，避免阳性被错误解释。,可以保留；先解决下述具体问题，再决定可解释的测量方案。,核对含血红素构建并区分底物代谢与抑制；先取得直接酶证据，再决定疾病方向。
