排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,对照编号,对照证据类型,对照确认状态,当前实验建议,需先确认的事项,名称与实物核验说明,药物完整InChIKey,新靶点ChEMBL编号,对照ChEMBL编号,对照完整InChIKey
11,P1 前10排名且仍可探索,C384-094,solifenacin,Muscarinic acetylcholine receptor M2; Muscarinic acetylcholine receptor M3,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认纯药与含锌CA7，结合及酶抑制一致后另审眼部用途。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FBOUYBDGKBSUES-VXKWHMMOSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
12,P1 前10排名且仍可探索,C384-128,macimorelin,Growth hormone secretagogue receptor type 1,ACE — Angiotensin-converting enzyme,LISINOPRIL ANHYDROUS,CTRL-002,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核对ACE结构域和廉价酶活结果；仅在有母药直接作用支持时考虑SPR，并单独评价疾病干预方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UJVDJAPJQWZRFR-DHIUTWEWSA-N,CHEMBL1808,CHEMBL1237,RLAWWYSOJDYHDC-BZSNNMDCSA-N
13,P1 前10排名且仍可探索,C384-157,oxycodone,Mu-type opioid receptor,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先CA7酶学并与morphine比较，避免同骨架多对直接占用梯度容量。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BRUQQQPBMZOVGD-XFKAJCMBSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
14,P1 前10排名且仍可探索,C384-158,methylnaltrexone,Mu-type opioid receptor,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先用FKBP12竞争结合验证，检测实际盐形与非特异吸附，重复效应后再考虑疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,JVLBPIPGETUEET-WIXLDOGYSA-O,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
15,P1 前10排名且仍可探索,C384-196,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,MIF — Macrophage migration inhibitory factor,BTZO-1,CTRL-038,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,测纯母药，近邻若为连接分子不转移其亲和值。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UEJJHQNACJXSKW-UHFFFAOYSA-N,CHEMBL2085,CHEMBL4516611,GBAKVEWPYUIGHN-UHFFFAOYSA-N
16,P1 前10排名且仍可探索,C384-197,armodafinil,Sodium-dependent dopamine transporter,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,R实体身份一致，配体竞争与报告基因区分方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YFGHCGITMMYXAQ-LJQANCHMSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
17,P1 前10排名且仍可探索,C384-287,diltiazem,Voltage-gated L-type calcium channel,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,纯化REN实验与系统反馈明确分开。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HSUGRBWQSSZJOP-RTWAWAEBSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
18,P1 前10排名且仍可探索,C384-303,upadacitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,PRKCB — Protein kinase C beta type,ENZASTAURIN,CTRL-071,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,PRKCB与JAK功能并行确定独立作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WYQFJHHDOKWSHR-MNOVXSKESA-N,CHEMBL3045,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N
19,P1 前10排名且仍可探索,C384-003,carglumic acid,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",MMP12 — Macrophage metalloelastase,研究化合物 CHEMBL2385479（无通用名称）,CTRL-097,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,确认成熟含锌MMP12与参照响应；结合和正交酶活一致后继续，不把其他伪二肽效力移植给本药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL4393,CHEMBL2385479,QTUCHEGSWFEUBW-UHFFFAOYSA-N
20,P1 前10排名且仍可探索,C384-121,diazoxide,ATP-sensitive inward rectifier potassium channel 11; ATP-sensitive inward rectifier potassium channel 8,CSF1R — Macrophage colony-stimulating factor 1 receptor,DASATINIB ANHYDROUS,CTRL-006,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,若保留，先确认纯CSF1R构建及激酶活性筛查，再考虑SPR；不得把纠正低血糖解释为肿瘤抑制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GDLBFKVLRPITMI-UHFFFAOYSA-N,CHEMBL1844,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
21,P1 前10排名且仍可探索,C384-222,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,AXL — Tyrosine-protein kinase receptor UFO,STAUROSPORINE,CTRL-104,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯母药AXL酶活；不将降解或嵌合物效力转移。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,GOTYRUGSSMKFNF-UHFFFAOYSA-N,CHEMBL4895,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
22,P1 前10排名且仍可探索,C384-288,ixabepilone,Tubulin,CSF1R — Macrophage colony-stimulating factor 1 receptor,DASATINIB ANHYDROUS,CTRL-006,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,单药CSF1R功能及实际可溶浓度确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,FABUFPQFXZVHFB-PVYNADRNSA-N,CHEMBL1844,CHEMBL1421,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
23,P1 前10排名且仍可探索,C384-304,esketamine,Glutamate [NMDA] receptor,GSK3A — Glycogen synthase kinase-3 alpha,ABEMACICLIB,CTRL-066,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,S体纯酶GSK3A/B测试与NMDA机制分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,YQEZLKZALYSWHR-ZDUSSCGKSA-N,CHEMBL2850,CHEMBL3301610,UZWDCWONPYILKI-UHFFFAOYSA-N
24,P1 前10排名且仍可探索,C384-080,ibuprofen,Cyclooxygenase,CA4 — Carbonic anhydrase 4,ACETAZOLAMIDE,CTRL-084,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,用含锌CA4胞外域及参照，酶活与结合一致再升级；先核是否已有未收录文献。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HEFNNWSXXWATRW-UHFFFAOYSA-N,CHEMBL3729,CHEMBL20,BZKPWHYZMXOIDC-UHFFFAOYSA-N
25,P1 前10排名且仍可探索,C384-082,lisinopril,Angiotensin-converting enzyme,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,用成熟活性肾素直接测酶活，先排ACE反馈解释，阳性再SPR复测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
26,P1 前10排名且仍可探索,C384-004,apixaban,Coagulation factor X,FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,CTRL-020,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先以FLT3激酶域和匹配对照验证结合，阳性再测酶活；细胞抗炎现象需排除原抗凝通路解释。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QNZCBYKSOIHPEH-UHFFFAOYSA-N,CHEMBL1974,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
27,P1 前10排名且仍可探索,C384-102,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认含锌CA7及实际可溶浓度，结合和酶活一致再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
28,P1 前10排名且仍可探索,C384-103,etravirine,Human immunodeficiency virus type 1 reverse transcriptase,FLT3 — Receptor-type tyrosine-protein kinase FLT3,STAUROSPORINE,CTRL-020,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,匹配FLT3活性域及参照，直接结合/酶活后再核疾病亚型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,PYGWGZALEOIKDF-UHFFFAOYSA-N,CHEMBL1974,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
29,P1 前10排名且仍可探索,C384-129,darunavir,Human immunodeficiency virus type 1 protease,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先确认FKBP12参考配体响应及darunavir可溶浓度；若重复SPR响应成立，再做竞争结合并细化癌症机制。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
30,P1 前10排名且仍可探索,C384-162,bupivacaine,Sodium channel protein type 4 subunit alpha,CTSC — Dipeptidyl peptidase 1,BRENSOCATIB,CTRL-046,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,在成熟活性CTSC上先酶学检验，并区分局麻引起的细胞损伤与靶点效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL2252,CHEMBL3900409,AEXFXNFMSAAELR-RXVVDRJESA-N
31,P1 前10排名且仍可探索,C384-163,belzutifan,Endothelial PAS domain-containing protein 1,PGR — Progesterone receptor,研究化合物 CHEMBL2311103（无通用名称）,CTRL-037,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,确认PGR域与配体竞争对照，SPR阳性后用功能报告区分方向再讨论骨病价值。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LOMMPXLFBTZENJ-ZACQAIPSSA-N,CHEMBL208,CHEMBL2311103,IJLXLZGJDSJGIQ-BILPMHSYSA-N
32,P1 前10排名且仍可探索,C384-198,oxaprozin,Cyclooxygenase,FAAH — Fatty-acid amide hydrolase 1,MK-3168,CTRL-045,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,先实测FAAH作用，原始数据待追溯。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,OFPXSFXSNFPTHF-UHFFFAOYSA-N,CHEMBL2243,CHEMBL2386558,WRBFPGYDKJBYBI-SJORKVTESA-N
33,P1 前10排名且仍可探索,C384-290,cobimetinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,PARP2 — Poly [ADP-ribose] polymerase 2,TALAZOPARIB,CTRL-110,"Ki,IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,PARP2功能与MEK效应分离。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,BSMCAPRUBJMWDF-KRWDZBQOSA-N,CHEMBL5366,CHEMBL3137320,HWGQMRYQVZSGDQ-HZPDHXFCSA-N
34,P1 前10排名且仍可探索,C384-305,lumateperone,5-hydroxytryptamine receptor 2A; D(2) dopamine receptor; Sodium-dependent serotonin transporter,COMT — Catechol O-methyltransferase,研究化合物 CHEMBL5653589（无通用名称）,CTRL-029,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,明确COMT构建及SAM条件，独立功能验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HOIIHACBCFLJET-SFTDATJTSA-N,CHEMBL2023,CHEMBL5653589,MWKSRKSEWLRPBL-UHFFFAOYSA-N
35,P1 前10排名且仍可探索,C384-307,tafamidis,Transthyretin,RARB — Retinoic acid receptor beta,TRETINOIN,CTRL-027,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,竞争及报告基因确定受体方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,TXEIIPDJKFWEEC-UHFFFAOYSA-N,CHEMBL2008,CHEMBL38,SHGAZHPCJJPHSC-YCNIQYBTSA-N
36,P1 前10排名且仍可探索,C384-006,pregabalin,Voltage-gated calcium channel,MME — Neprilysin,OMAPATRILAT,CTRL-016,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,先测可溶MME对照及正交酶活；直接结合和酶抑制一致才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,AYXYPKUFHZROOJ-ZETCQYMHSA-N,CHEMBL1944,CHEMBL289556,LVRLSYPNFFBYCZ-VGWMRTNUSA-N
37,P1 前10排名且仍可探索,C384-027,cabotegravir,Human immunodeficiency virus type 1 integrase,"ALDH2 — Aldehyde dehydrogenase, mitochondrial",PRUNETIN,CTRL-013,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,核对ALDH2辅因子和酶活，结合与功能一致才考虑升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WCWSTNLSLKSJPK-LKFCYVNXSA-N,CHEMBL1935,CHEMBL491174,KQMVAGISDHMXJJ-UHFFFAOYSA-N
38,P1 前10排名且仍可探索,C384-164,pacritinib,Activin receptor type-1; Interleukin-1 receptor-associated kinase 1; Receptor-type tyrosine-protein kinase FLT3; Tyrosine-protein kinase JAK2,CA7 — Carbonic anhydrase 7,ETHOXZOLAMIDE,CTRL-049,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,仅在CA7体系成熟且可低成本追加时先酶学测试，不直接安排全梯度。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2326,CHEMBL18,OUZWUKMCLIBBOG-UHFFFAOYSA-N
39,P1 前10排名且仍可探索,C384-166,bictegravir,Human immunodeficiency virus type 1 integrase,MET — Hepatocyte growth factor receptor,TEPOTINIB,CTRL-083,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,明确人MET激酶域及参考对照，先小规模活性筛查后用SPR和细胞MET信号复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SOLUWJRYJLAZCX-LYOVBCGYSA-N,CHEMBL3717,CHEMBL3402762,AHYMHWXQRWRBKT-UHFFFAOYSA-N
40,P1 前10排名且仍可探索,C384-167,rimegepant,Calcitonin gene-related peptide type 1 receptor,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,先核对肾素催化活性、样品溶解度和竞争效应；只有重复直接效应才追加疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
41,P1 前10排名且仍可探索,C384-217,calcipotriene,Vitamin D3 receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,MR竞争与溶解性确认，可与同药其他核受体并行。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LWQQLNNNIPYSNX-UROSTWAQSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
42,P1 前10排名且仍可探索,C384-122,olanzapine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C; D2-like dopamine receptor,DYRK1A — Dual specificity tyrosine-phosphorylation-regulated kinase 1A,HARMINE,CTRL-048,"IC50,Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,先核对DYRK1A直接筛选数据及自闭症相关方向；有匹配构建的活性支持后再提升顺位。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KVWDHTXUZHCGIO-UHFFFAOYSA-N,CHEMBL2292,CHEMBL269538,BXNJHAXVSOCGBA-UHFFFAOYSA-N
43,P1 前10排名且仍可探索,C384-291,avibactam,Beta-lactamase TEM,MMP8 — Neutrophil collagenase,CIPEMASTAT,CTRL-101,Ki,仅Ki记录，需先确认SPR结合适用性,仍可探索,单成分成熟MMP8与金属/非特异对照。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL4588,CHEMBL115653,GFUITADOEPNRML-SJORKVTESA-N
44,P1 前10排名且仍可探索,C384-308,tapentadol,Mu-type opioid receptor; Sodium-dependent noradrenaline transporter,ESR1 — Estrogen receptor,研究化合物 CHEMBL377849（无通用名称）,CTRL-034,Kd,有Kd记录，待确认构建与SPR实测活性；须按结构落实实物,仍可探索,ESR1竞争/报告后再判疾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,KWTWDQCKEHXFFR-SMDDNHRTSA-N,CHEMBL206,CHEMBL377849,ANMCTAWGJSYPPA-LPYMAVHISA-N
45,P1 前10排名且仍可探索,C384-008,lubiprostone,Chloride channel protein 2,AR — Androgen receptor,TESTOSTERONE,CTRL-009,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,如做，仅先验证纯母药AR结合；证据阳性后另审局部给药与激动/拮抗，不能直接按系统再利用推进。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WGFOBBZOWHGYQH-MXHNKVEKSA-N,CHEMBL1871,CHEMBL386630,MUMGGOZAMZWBJJ-DYKIIFRCSA-N
46,P1 前10排名且仍可探索,C384-199,bupivacaine,Sodium channel protein type 4 subunit alpha,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,SIROLIMUS,CTRL-010,"Ki,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯蛋白竞争和非特异吸附对照，避免膜效应归因。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,LEBVLXFERQHONN-UHFFFAOYSA-N,CHEMBL1902,CHEMBL413,QFJCIRLUMZQUOT-HPLJOQBZSA-N
47,P1 前10排名且仍可探索,C384-200,sotagliflozin,Sodium/glucose cotransporter 1; Sodium/glucose cotransporter 2,REN — Renin,REMIKIREN,CTRL-067,Kd,有Kd记录，待确认构建与SPR实测活性,仍可探索,以纯REN实验独立检验，生理肾素变化不作为直连。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,QKDRXGFQVGOQKS-CRSSMBPESA-N,CHEMBL286,CHEMBL31601,UXIGZRQVLGFTOU-VQXQMPIVSA-N
48,P1 前10排名且仍可探索,C384-084,glasdegib,Protein smoothened,KIT — Mast/stem cell growth factor receptor Kit,STAUROSPORINE,CTRL-014,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,核KIT活性域及突变状态，阳性再做酶活；不直接把AML原用途移到CML。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,SFNSLLSYNZWZQG-VQIMIIECSA-N,CHEMBL1936,CHEMBL388978,HKSZLNNOFSGOKW-FYTWVXJKSA-N
49,P1 前10排名且仍可探索,C384-131,selinexor,Exportin-1,BRAF — Serine/threonine-protein kinase B-raf,SB590885,CTRL-107,"Kd,IC50,Ki",有Kd记录，待确认构建与SPR实测活性,仍可探索,先取得BRAF生化或直接结合证据；若只有细胞通路变化，保持后置并区分BRAF野生型与突变构建。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,DEVSOMFAQLZNKR-RJRFIUFISA-N,CHEMBL5145,CHEMBL477989,MLSAQOINCGAULQ-QFMPWRQOSA-N
50,P1 前10排名且仍可探索,C384-310,avibactam,Beta-lactamase TEM,MMP7 — Matrilysin,PRINOMASTAT,CTRL-091,"Ki,IC50",仅Ki记录，需先确认SPR结合适用性,仍可探索,单成分成熟MMP7功能及金属条件。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,NDCUAPJVLWFHHB-UHNVWZDZSA-N,CHEMBL4073,CHEMBL75094,YKPYIPVDTNNYCN-INIZCTEOSA-N
51,P1 前10排名且仍可探索,C384-321,fluocinonide,Glucocorticoid receptor,PRKCB — Protein kinase C beta type,ENZASTAURIN,CTRL-071,"IC50,Kd",有Kd记录，待确认构建与SPR实测活性,仍可探索,纯PRKCB作用与GR效应分离，后续才评暴露。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WJOHZNCJWYWUJD-IUGZLZTKSA-N,CHEMBL3045,CHEMBL300138,AXRCEOKUDYDWLF-UHFFFAOYSA-N
52,P1 前10排名且仍可探索,C384-032,desonide,Glucocorticoid receptor,NR3C2 — Mineralocorticoid receptor,ALDOSTERONE,CTRL-025,"Kd,IC50",有Kd记录，待确认构建与SPR实测活性,仍可探索,确认MR-LBD与GR选择性，结合阳性后分别测激动拮抗；再论肾病方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,WBGKWQHBNHJJPZ-LECWWXJVSA-N,CHEMBL1994,CHEMBL273453,PQSUYGKTWSAVDQ-ZVIOFETBSA-N
