id,group,date,architecture,input,output,supervision,weights,source,weight_source,next,scored_pairs,coverage_percent,state
3DICE,RESEARCH_RESERVE,2026-07期刊,UniMol＋ESM-IF1，3D跨模态注意力,分子构象＋蛋白骨架结构,DTI分类,DrugBank/KIBA,已核对代码；未确认任务权重；pt主要是嵌入/分析缓存,https://doi.org/10.1093/bioinformatics/btag488,https://github.com/austinatose/3DICE,保留结构解释性路线；不把encoder/缓存当任务检查点,,,
DrugCMF,RESEARCH_RESERVE,AAAI 2026；2026-05代码发布,MolFormer/ProtT5/UniMol/SaProt四模态，置信加权融合,SMILES＋序列＋分子/蛋白结构,DTI分类,Human/BindingDB/BioSNAP,有代码和编码器入口，未确认下游任务权重,https://ojs.aaai.org/index.php/AAAI/article/view/39972,https://github.com/deku-0621/DrugCMF,多模态可靠性机制备选；需任务训练时另行冻结协议,,,
GRAM-DTI,RESEARCH_RESERVE,作者仓库标注ICLR 2026；本轮未独立核验会议录,四模态Gramian对齐＋自适应模态丢弃,SMILES、蛋白序列、功能文本、分类注释,DTI/迁移表征，具体任务头待核验,作者IC50等多模态训练,有代码；未确认可直接推理的任务权重,https://github.com/uta-smile/GRAM-DTI,https://github.com/uta-smile/GRAM-DTI,额外文本可能携带已知关系，独立信息预算审计后再考虑,,,
DrugLAMP,RESEARCH_RESERVE,2024-11-21期刊,PLM＋分子图，口袋引导/配对注意力和对比学习,SMILES/分子图＋蛋白序列及原生特征,DTI分类,作者多基准DTI数据,已核对代码，未确认任务检查点,https://doi.org/10.1093/bioinformatics/btae693,https://github.com/Lzcstan/DrugLAMP,作为局部融合备选；不扩展当前45项训练队列,,,
TAPB,RESEARCH_RESERVE,2025期刊,跨模态注意力＋靶点先验干预,SMILES token＋ESM2蛋白表征,DTI分类,作者DTI任务；本地A有无干预可成对重训,代码/编码器在本地，任务权重未确认,https://doi.org/10.1038/s41467-025-66915-1,https://github.com/GaomingL1n/TAPB,沿用A条件队列6次；不自动激活,,,
DrugBAN,CONTROLLED_A,2023，历史方法对照,分子GCN＋蛋白CNN＋双线性注意力,分子2D图＋蛋白序列,DTI分类,本地A受控协议，非官方任务权重比较,原生适配后训练；演示权重不合格,https://github.com/peizhenbai/DrugBAN,https://github.com/peizhenbai/DrugBAN,A主线6次拟合，禁用测试域适配；输入差异明确单列,,,
DeepDTA,HISTORICAL_RESERVE,2018，历史参照,双侧1D-CNN＋拼接回归,SMILES＋蛋白序列字符,亲和回归,Davis/KIBA等,代码在本地，合格任务检查点未确认,https://github.com/hkmztrk/DeepDTA,https://github.com/hkmztrk/DeepDTA,已有代表架构足够，暂不扩展训练,,,
DTI-LM,HISTORICAL_RESERVE,2024；近两年日期边界未在本轮确认,分子/蛋白LM表征的DTI学习器,SMILES＋蛋白序列,任务头依作者版本,BindingDB等,仓库pt为ESM/PubChem特征，未确认任务权重,https://github.com/compbiolabucf/DTI-LM,https://github.com/compbiolabucf/DTI-LM,补充文献，当前不纳入可用权重比较,,,
DTIAM_official,PROVENANCE_ONLY,2025-03期刊,BerMol/ESM2＋AutoGluon,SMILES＋蛋白序列,DTI/DTA/MoA，取决于训练任务,官方代码提供多个数据集的折内训练,BerMol公开；所核查官方包未找到下游预测器,https://doi.org/10.1038/s41467-025-57828-0,https://github.com/CSUBioGroup/DTIAM,按本轮授权使用DTIAM_A；不把两者当两个独立可用模型,,,
ReTargetMap,EXCLUDED,项目历史模型,历史生产配对MLP及组合评分,历史系统输入,历史推荐分,项目历史训练/先验,存在，但用户明确排除,docs/BIOMASTER_SEVEN_MODEL_ARCHITECTURE_AUDIT_20260919_ZH.md,历史资产清单,仅留溯源，不进入本轮分数矩阵/交集/排名,,,
